order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price_exact,fill_price_exact,gross_notional_exact,price_impact_cost_exact,commission_exact,total_fee_exact,cash_delta_exact,cash_before_exact,cash_after_exact,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.7909,99163.6000,6843.6000,148.74540000,148.74540000,-99312.34540000,500000.0,400687.6546,23.08,24.7909,4000,99163.6,6843.6,148.7454,148.7454,-99312.35,500000.0,400687.65,0,4000,False,0.6,c0.0015_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.5316,61953.1600,41793.1600,92.92974000,92.92974000,-62046.08974000,400687.6546,338641.56486,201.6,619.5316,100,61953.16,41793.16,92.92974,92.92974,-62046.09,400687.65,338641.56,0,100,False,0.6,c0.0015_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2694,18615.5200,215.5200,27.92328000,27.92328000,-18643.44328000,338641.56486,319998.12158,23.0,23.2694,800,18615.52,215.52,27.92328,27.92328,-18643.44,338641.56,319998.12,0,800,False,0.6,c0.0015_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.0413,28816.5200,100.5200,43.22478000,43.22478000,-28859.74478000,319998.12158,291138.37679999997,71.79,72.0413,400,28816.52,100.52,43.22478,43.22478,-28859.74,319998.12,291138.38,0,400,False,0.6,c0.0015_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.8526,69426.3000,331.3000,104.13945000,104.13945000,-69530.43945000,291138.37679999997,221607.93734999996,138.19,138.8526,500,69426.3,331.3,104.13945,104.13945,-69530.44,291138.38,221607.94,0,500,False,0.6,c0.0015_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.1056,88422.4000,6102.4000,132.63360000,132.63360000,88289.76640000,221607.93734999996,309897.70375,20.58,22.1056,4000,88422.4,6102.4,132.6336,132.6336,88289.77,221607.94,309897.7,4000,0,True,0.4,c0.0015_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,593.1031,59310.3100,40010.3100,88.96546500,88.96546500,59221.34453500,309897.70375,369119.04828499997,193.0,593.1031,100,59310.31,40010.31,88.965465,88.965465,59221.34,309897.7,369119.05,100,0,True,0.4,c0.0015_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.7199,16575.9200,191.9200,24.86388000,24.86388000,16551.05612000,369119.04828499997,385670.104405,20.48,20.7199,800,16575.92,191.92,24.86388,24.86388,16551.06,369119.05,385670.1,800,0,True,0.4,c0.0015_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.4035,31361.4000,109.4000,47.04210000,47.04210000,31314.35790000,385670.104405,416984.462305,78.13,78.4035,400,31361.4,109.4,47.0421,47.0421,31314.36,385670.1,416984.46,400,0,True,0.4,c0.0015_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.6259,70812.9500,337.9500,106.21942500,106.21942500,70706.73057500,416984.462305,487691.19288,140.95,141.6259,500,70812.95,337.95,106.219425,106.219425,70706.73,416984.46,487691.19,500,0,True,0.4,c0.0015_s0.0
11,2023-12-14,6,2023-12-13,000568,BUY,176.0,195.3347,19533.4700,1933.4700,29.30020500,29.30020500,-19562.77020500,487691.19288,468128.422675,176.0,195.3347,100,19533.47,1933.47,29.300205,29.300205,-19562.77,487691.19,468128.42,0,100,True,0.4,c0.0015_s0.0
12,2023-12-14,7,2023-12-13,002558,BUY,14.45,15.0621,18074.5200,734.5200,27.11178000,27.11178000,-18101.63178000,468128.422675,450026.790895,14.45,15.0621,1200,18074.52,734.52,27.11178,27.11178,-18101.63,468128.42,450026.79,0,1200,True,0.4,c0.0015_s0.0
13,2023-12-14,8,2023-12-13,600938,BUY,19.45,21.2841,36182.9700,3117.9700,54.27445500,54.27445500,-36237.24445500,450026.790895,413789.54644,19.45,21.2841,1700,36182.97,3117.97,54.274455,54.274455,-36237.24,450026.79,413789.55,0,1700,True,0.4,c0.0015_s0.0
14,2023-12-14,9,2023-12-13,601398,BUY,4.79,5.4725,64028.2500,7985.2500,96.04237500,96.04237500,-64124.29237500,413789.54644,349665.254065,4.79,5.4725,11700,64028.25,7985.25,96.042375,96.042375,-64124.29,413789.55,349665.25,0,11700,True,0.4,c0.0015_s0.0
15,2023-12-19,1,2023-12-18,300750,BUY,146.31,156.5485,46964.5500,3071.5500,70.44682500,70.44682500,-47034.99682500,349665.254065,302630.25724,146.31,156.5485,300,46964.55,3071.55,70.446825,70.446825,-47035.0,349665.25,302630.26,0,300,True,0.4,c0.0015_s0.0
