strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_version,strategy_source,ashare_resolved_strategy,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_weight_penalty,ashare_weight_reason,ashare_supplement,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-05,000725,京东方Ａ,元器件,76.12,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-05,300319,麦捷科技,元器件,74.79,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-05,603773,沃格光电,元器件,71.28,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-05,600378,昊华科技,化工原料,71.04,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-05,002636,金安国纪,元器件,70.24,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,1,2026-06-05,000725,京东方Ａ,元器件,99.395643713934,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.7
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2,2026-06-05,688146,中船特气,半导体,98.88852756476983,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.7
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,3,2026-06-05,605358,立昂微,半导体,98.70153563917414,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.7
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,4,2026-06-05,600869,远东股份,电气设备,98.09477221967114,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.7
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,5,2026-06-05,603773,沃格光电,元器件,97.97435949319933,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-05,688498,源杰科技,半导体,95.2920018063351,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-05,300620,光库科技,通信设备,94.8438474937101,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-05,002463,沪电股份,元器件,94.68194310044514,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-05,002636,金安国纪,元器件,94.66516224759692,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-05,688146,中船特气,半导体,94.2214799045223,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,1,2026-06-05,688498,源杰科技,半导体,95.2920018063351,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2,2026-06-05,300620,光库科技,通信设备,94.8438474937101,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
