trade_date,signal_date,nav,equity,cash,position_ratio,position_count,locked_value,in_risk
2023-05-08,2023-05-05,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-09,2023-05-08,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-10,2023-05-09,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-11,2023-05-10,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-12,2023-05-11,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-15,2023-05-12,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-16,2023-05-15,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-17,2023-05-16,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-18,2023-05-17,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-19,2023-05-18,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-22,2023-05-19,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-23,2023-05-22,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-24,2023-05-23,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-25,2023-05-24,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-26,2023-05-25,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-29,2023-05-26,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-30,2023-05-29,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-05-31,2023-05-30,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-01,2023-05-31,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-02,2023-06-01,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-05,2023-06-02,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-06,2023-06-05,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-07,2023-06-06,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-08,2023-06-07,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-09,2023-06-08,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-12,2023-06-09,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-13,2023-06-12,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-14,2023-06-13,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-15,2023-06-14,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-16,2023-06-15,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-19,2023-06-16,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-20,2023-06-19,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-21,2023-06-20,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-26,2023-06-21,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-27,2023-06-26,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-28,2023-06-27,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-29,2023-06-28,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-06-30,2023-06-29,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-03,2023-06-30,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-04,2023-07-03,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-05,2023-07-04,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-06,2023-07-05,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-07,2023-07-06,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-10,2023-07-07,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-11,2023-07-10,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-12,2023-07-11,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-13,2023-07-12,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-14,2023-07-13,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-17,2023-07-14,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-18,2023-07-17,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-19,2023-07-18,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-20,2023-07-19,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-21,2023-07-20,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-24,2023-07-21,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-25,2023-07-24,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-26,2023-07-25,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-27,2023-07-26,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-28,2023-07-27,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-07-31,2023-07-28,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-01,2023-07-31,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-02,2023-08-01,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-03,2023-08-02,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-04,2023-08-03,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-07,2023-08-04,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-08,2023-08-07,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-09,2023-08-08,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-10,2023-08-09,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-11,2023-08-10,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-14,2023-08-11,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-15,2023-08-14,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-16,2023-08-15,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-17,2023-08-16,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-18,2023-08-17,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-21,2023-08-18,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-22,2023-08-21,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-23,2023-08-22,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-24,2023-08-23,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-25,2023-08-24,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-28,2023-08-25,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-29,2023-08-28,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-30,2023-08-29,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-08-31,2023-08-30,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-01,2023-08-31,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-04,2023-09-01,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-05,2023-09-04,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-06,2023-09-05,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-07,2023-09-06,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-08,2023-09-07,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-11,2023-09-08,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-12,2023-09-11,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-13,2023-09-12,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-14,2023-09-13,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-15,2023-09-14,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-18,2023-09-15,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-19,2023-09-18,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-20,2023-09-19,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-21,2023-09-20,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-22,2023-09-21,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-25,2023-09-22,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-26,2023-09-25,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-27,2023-09-26,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-09-28,2023-09-27,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-09,2023-09-28,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-10,2023-10-09,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-11,2023-10-10,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-12,2023-10-11,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-13,2023-10-12,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-16,2023-10-13,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-17,2023-10-16,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-18,2023-10-17,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-19,2023-10-18,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-20,2023-10-19,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-23,2023-10-20,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-24,2023-10-23,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-25,2023-10-24,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-26,2023-10-25,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-27,2023-10-26,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-30,2023-10-27,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-10-31,2023-10-30,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-01,2023-10-31,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-02,2023-11-01,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-03,2023-11-02,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-06,2023-11-03,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-07,2023-11-06,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-08,2023-11-07,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-09,2023-11-08,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-10,2023-11-09,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-13,2023-11-10,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-14,2023-11-13,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-15,2023-11-14,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-16,2023-11-15,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-17,2023-11-16,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-20,2023-11-17,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-21,2023-11-20,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-22,2023-11-21,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-23,2023-11-22,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-24,2023-11-23,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-27,2023-11-24,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-28,2023-11-27,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-29,2023-11-28,1.0,500000.0,500000.0,0.6,0,0.0,False
2023-11-30,2023-11-29,0.908999,454499.42,221816.42,0.6,5,232683.0,False
2023-12-01,2023-11-30,0.903001,451500.42,221816.42,0.6,5,229684.0,False
2023-12-04,2023-12-01,0.897699,448849.42,221816.42,0.6,5,227033.0,False
2023-12-05,2023-12-04,0.888313,444156.42,221816.42,0.6,5,222340.0,False
2023-12-06,2023-12-05,0.897031,448515.42,221816.42,0.4,5,226699.0,True
2023-12-07,2023-12-06,0.889689,444844.42,221816.42,0.4,5,223028.0,True
2023-12-08,2023-12-07,0.897311,448655.42,221816.42,0.4,5,226839.0,True
2023-12-11,2023-12-08,0.897469,448734.42,221816.42,0.4,5,226918.0,True
2023-12-12,2023-12-11,0.892371,446185.42,221816.42,0.4,5,224369.0,True
2023-12-13,2023-12-12,0.880443,440221.42,221816.42,0.4,5,218405.0,True
2023-12-14,2023-12-13,0.946223,473111.3,349629.3,0.4,4,123482.0,True
2023-12-15,2023-12-14,0.944735,472367.3,349629.3,0.4,4,122738.0,True
2023-12-18,2023-12-15,0.945949,472974.3,349629.3,0.4,4,123345.0,True
2023-12-19,2023-12-18,0.942561,471280.53,302629.53,0.4,5,168651.0,True
2023-12-20,2023-12-19,0.941357,470678.53,302629.53,0.4,5,168049.0,True
2023-12-21,2023-12-20,0.945353,472676.53,302629.53,0.4,5,170047.0,True
2023-12-22,2023-12-21,0.943603,471801.53,302629.53,0.4,5,169172.0,True
2023-12-25,2023-12-22,0.942585,471292.53,302629.53,0.4,5,168663.0,True
2023-12-26,2023-12-25,0.941563,470781.53,302629.53,0.4,5,168152.0,True
2023-12-27,2023-12-26,0.942503,471251.53,302629.53,0.4,5,168622.0,True
2023-12-28,2023-12-27,0.96199,480995.24,296584.24,0.4,5,184411.0,True
2023-12-29,2023-12-28,0.961687,480843.26,296457.26,0.4,5,184386.0,True
2024-01-02,2023-12-29,0.948649,474324.26,296457.26,0.4,5,177867.0,True
2024-01-03,2024-01-02,0.945117,472558.36,292950.36,0.4,5,179608.0,True
2024-01-04,2024-01-03,0.947237,473618.36,292950.36,0.4,5,180668.0,True
2024-01-05,2024-01-04,0.940591,470295.36,292950.36,0.4,5,177345.0,True
2024-01-08,2024-01-05,0.938761,469380.36,292950.36,0.4,5,176430.0,True
2024-01-09,2024-01-08,0.936227,468113.36,292950.36,0.4,5,175163.0,True
2024-01-10,2024-01-09,0.928043,464021.36,292950.36,0.4,5,171071.0,True
2024-01-11,2024-01-10,0.931073,465536.36,292950.36,0.4,5,172586.0,True
2024-01-12,2024-01-11,0.912657,456328.54,285467.54,0.4,5,170861.0,True
2024-01-15,2024-01-12,0.929567,464783.65,283395.65,0.4,5,181388.0,True
2024-01-16,2024-01-15,0.931109,465554.65,283395.65,0.4,5,182159.0,True
2024-01-17,2024-01-16,0.923349,461674.68,284583.68,0.4,5,177091.0,True
2024-01-18,2024-01-17,0.929189,464594.68,284583.68,0.4,5,180011.0,True
2024-01-19,2024-01-18,0.918179,459089.68,284583.68,0.4,5,174506.0,True
2024-01-22,2024-01-19,0.905893,452946.68,284583.68,0.4,5,168363.0,True
2024-01-23,2024-01-22,0.906127,453063.68,284583.68,0.4,5,168480.0,True
2024-01-24,2024-01-23,0.911443,455721.68,284583.68,0.4,5,171138.0,True
2024-01-25,2024-01-24,0.931201,465600.68,284583.68,0.4,5,181017.0,True
2024-01-26,2024-01-25,0.945024,472511.9,288840.9,0.4,5,183671.0,True
2024-01-29,2024-01-26,0.935954,467977.07,287839.07,0.4,5,180138.0,True
2024-01-30,2024-01-29,0.930442,465221.07,287839.07,0.4,5,177382.0,True
2024-01-31,2024-01-30,0.925038,462519.02,283333.02,0.4,5,179186.0,True
2024-02-01,2024-01-31,0.921246,460623.02,283333.02,0.4,5,177290.0,True
2024-02-02,2024-02-01,0.918512,459256.02,283333.02,0.4,5,175923.0,True
2024-02-05,2024-02-02,0.91467,457335.02,283333.02,0.4,5,174002.0,True
2024-02-06,2024-02-05,0.925032,462516.02,283333.02,0.4,5,179183.0,True
2024-02-07,2024-02-06,0.927734,463867.02,283333.02,0.4,5,180534.0,True
2024-02-08,2024-02-07,0.935844,467922.02,283333.02,0.4,5,184589.0,True
2024-02-19,2024-02-08,0.932659,466329.55,289710.55,0.4,5,176619.0,True
2024-02-20,2024-02-19,0.927304,463651.95,286309.95,0.4,5,177342.0,True
2024-02-21,2024-02-20,0.920962,460480.95,286309.95,0.4,5,174171.0,True
2024-02-22,2024-02-21,0.933188,466593.85,285447.85,0.4,5,181146.0,True
2024-02-23,2024-02-22,0.933598,466798.85,285447.85,0.4,5,181351.0,True
2024-02-26,2024-02-23,0.942356,471177.85,285447.85,0.4,5,185730.0,True
2024-02-27,2024-02-26,0.955228,477613.85,285447.85,0.4,5,192166.0,True
2024-02-28,2024-02-27,0.93731,468654.85,285447.85,0.4,5,183207.0,True
2024-02-29,2024-02-28,0.947784,473891.85,285447.85,0.4,5,188444.0,True
2024-03-01,2024-02-29,0.954598,477298.85,285447.85,0.4,5,191851.0,True
2024-03-04,2024-03-01,0.977855,488927.26,296225.26,0.4,5,192702.0,True
2024-03-05,2024-03-04,0.970252,485125.97,299748.97,0.4,5,185377.0,True
2024-03-06,2024-03-05,0.97029,485144.97,299748.97,0.4,5,185396.0,True
2024-03-07,2024-03-06,0.96076,480379.82,295123.82,0.4,5,185256.0,True
2024-03-08,2024-03-07,0.971434,485716.82,295123.82,0.6,5,190593.0,False
2024-03-11,2024-03-08,0.981664,490831.82,295123.82,0.6,5,195708.0,False
2024-03-12,2024-03-11,0.976448,488223.82,295123.82,0.6,5,193100.0,False
2024-03-13,2024-03-12,0.969962,484980.82,295123.82,0.6,5,189857.0,False
2024-03-14,2024-03-13,0.968562,484280.82,295123.82,0.6,5,189157.0,False
2024-03-15,2024-03-14,0.973036,486517.82,295123.82,0.6,5,191394.0,False
2024-03-18,2024-03-15,0.977956,488977.8,200296.8,0.6,5,288681.0,False
2024-03-19,2024-03-18,0.968723,484361.36,199571.36,0.6,5,284790.0,False
2024-03-20,2024-03-19,0.968607,484303.36,199571.36,0.6,5,284732.0,False
2024-03-21,2024-03-20,0.963832,481915.83,202101.83,0.6,5,279814.0,False
2024-03-22,2024-03-21,0.948328,474163.83,202101.83,0.6,5,272062.0,False
2024-03-25,2024-03-22,0.951916,475957.83,202101.83,0.6,5,273856.0,False
2024-03-26,2024-03-25,0.944996,472497.83,202101.83,0.6,5,270396.0,False
2024-03-27,2024-03-26,0.936674,468336.83,202101.83,0.6,5,266235.0,False
2024-03-28,2024-03-27,0.948574,474286.83,202101.83,0.6,5,272185.0,False
2024-03-29,2024-03-28,0.955332,477665.83,202101.83,0.6,5,275564.0,False
2024-04-01,2024-03-29,0.947417,473708.61,201454.61,0.6,5,272254.0,False
2024-04-02,2024-04-01,0.937276,468637.79,205292.79,0.6,5,263345.0,False
2024-04-03,2024-04-02,0.92612,463059.79,205292.79,0.6,5,257767.0,False
2024-04-08,2024-04-03,0.92089,460445.18,194693.18,0.6,5,265752.0,False
2024-04-09,2024-04-08,0.916852,458426.18,194693.18,0.6,5,263733.0,False
2024-04-10,2024-04-09,0.921836,460918.18,194693.18,0.4,5,266225.0,True
2024-04-11,2024-04-10,0.916912,458456.18,194693.18,0.4,5,263763.0,True
2024-04-12,2024-04-11,0.913814,456907.18,194693.18,0.4,5,262214.0,True
2024-04-15,2024-04-12,0.923628,461814.18,194693.18,0.4,5,267121.0,True
2024-04-16,2024-04-15,0.923174,461587.18,194693.18,0.4,5,266894.0,True
2024-04-17,2024-04-16,0.955505,477752.6,312325.6,0.4,4,165427.0,True
2024-04-18,2024-04-17,0.940514,470257.03,295543.03,0.4,5,174714.0,True
2024-04-19,2024-04-18,0.943304,471652.03,295543.03,0.4,5,176109.0,True
2024-04-22,2024-04-19,0.938081,469040.74,296741.74,0.4,5,172299.0,True
2024-04-23,2024-04-22,0.934569,467284.42,293996.42,0.4,5,173288.0,True
2024-04-24,2024-04-23,0.934749,467374.42,293996.42,0.4,5,173378.0,True
2024-04-25,2024-04-24,0.936519,468259.42,293996.42,0.4,5,174263.0,True
2024-04-26,2024-04-25,0.937321,468660.42,293996.42,0.4,5,174664.0,True
2024-04-29,2024-04-26,0.941259,470629.42,293996.42,0.4,5,176633.0,True
2024-04-30,2024-04-29,0.939301,469650.42,293996.42,0.4,5,175654.0,True
2024-05-06,2024-04-30,0.944291,472145.46,297970.46,0.4,5,174175.0,True
2024-05-07,2024-05-06,0.954187,477093.28,295638.28,0.4,5,181455.0,True
2024-05-08,2024-05-07,0.948061,474030.28,295638.28,0.4,5,178392.0,True
2024-05-09,2024-05-08,0.950355,475177.28,295638.28,0.4,5,179539.0,True
2024-05-10,2024-05-09,0.939485,469742.74,294195.74,0.4,5,175547.0,True
2024-05-13,2024-05-10,0.947213,473606.74,294195.74,0.4,5,179411.0,True
2024-05-14,2024-05-13,0.946711,473355.74,294195.74,0.4,5,179160.0,True
2024-05-15,2024-05-14,0.947951,473975.74,294195.74,0.4,5,179780.0,True
2024-05-16,2024-05-15,0.945759,472879.74,294195.74,0.4,5,178684.0,True
2024-05-17,2024-05-16,0.948827,474413.74,294195.74,0.4,5,180218.0,True
2024-05-20,2024-05-17,0.953456,476728.04,298915.04,0.4,5,177813.0,True
2024-05-21,2024-05-20,0.94973,474865.12,297562.12,0.4,5,177303.0,True
2024-05-22,2024-05-21,0.94677,473385.12,297562.12,0.4,5,175823.0,True
2024-05-23,2024-05-22,0.948124,474062.12,297562.12,0.4,5,176500.0,True
2024-05-24,2024-05-23,0.971059,485529.4,295498.4,0.4,5,190031.0,True
2024-05-27,2024-05-24,0.979871,489935.4,295498.4,0.4,5,194437.0,True
2024-05-28,2024-05-27,0.946837,473418.4,295498.4,0.4,5,177920.0,True
2024-05-29,2024-05-28,0.942381,471190.4,295498.4,0.4,5,175692.0,True
2024-05-30,2024-05-29,0.926059,463029.4,295498.4,0.4,5,167531.0,True
2024-05-31,2024-05-30,0.929655,464827.4,295498.4,0.4,5,169329.0,True
2024-06-03,2024-05-31,0.917501,458750.33,286063.33,0.4,5,172687.0,True
2024-06-04,2024-06-03,0.932729,466364.5,287916.5,0.4,5,178448.0,True
