strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-04,2025-06-03,7896.7091325000365,501344.66,509241.3691325,1.0184827382650001,5,0.9844931900447282,0,0.0,5,5,500000.0,5,1.0,0
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-05,2025-06-04,7896.7091325000365,507445.01999999996,515341.7291325,1.030683458265,5,0.9846767519762217,5,501171.41,5,0,509068.1191325,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-06,2025-06-05,7896.7091325000365,498641.78,506538.4891325001,1.0130769782650002,5,0.9844104459938987,5,500323.75,5,0,508220.45913250005,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-09,2025-06-06,7896.7091325000365,503001.57,510898.27913250006,1.0217965582650002,5,0.9845434806593818,5,503053.01999999996,5,0,510949.7291325,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-10,2025-06-09,7896.7091325000365,513948.96,521845.6691325001,1.0436913382650002,5,0.9848677308261898,5,500882.43000000005,5,0,508779.1391325001,5,1.0,4
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-11,2025-06-10,7896.7091325000365,519952.32,527849.0291325,1.0556980582650002,5,0.9850398339360821,5,516243.0200000001,5,0,524139.7291325001,5,1.0,4
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-12,2025-06-11,7896.7091325000365,514176.42,522073.12913250003,1.044146258265,5,0.9848743237453695,5,511235.91,5,0,519132.6191325,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-13,2025-06-12,7896.7091325000365,523990.49,531887.1991325,1.0637743982649999,5,0.9851534138340245,5,516903.48000000004,5,0,524800.1891325001,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-16,2025-06-13,7896.7091325000365,546819.05,554715.7591325,1.109431518265,5,0.9857644045576615,5,528428.36,5,0,536325.0691325,5,1.0,5
tiered_liquidity_then_bs_v2_industry_cap2,2025-06-17,2025-06-16,7896.7091325000365,547386.92,555283.6291325,1.1105672582650001,5,0.985778962825112,5,542663.37,5,0,550560.0791325,5,1.0,5
