strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason
adaptive_market_style,2023-01-05,000001,平安银行,银行,BUY,17.009,4100,69736.9,52.302674999999994,430210.797325,rebalance_unlocked
adaptive_market_style,2023-01-05,000716,黑芝麻,食品,BUY,8.6045,8100,69696.45,52.2723375,360462.0749875,rebalance_unlocked
adaptive_market_style,2023-01-05,600919,江苏银行,银行,BUY,9.3414,7400,69126.36,51.844770000000004,291283.87021749996,rebalance_unlocked
adaptive_market_style,2023-01-05,600996,贵广网络,影视音像,BUY,15.85,4400,69740.0,52.305,221491.56521749997,rebalance_unlocked
adaptive_market_style,2023-01-05,601318,中国平安,保险,BUY,56.9937,1200,68392.44,51.29433,153047.83088749996,rebalance_unlocked
adaptive_market_style,2023-01-19,000001,平安银行,银行,SELL,17.8713,4100,73272.33,54.9542475,226265.20663999996,rebalance_unlocked
adaptive_market_style,2023-01-19,000716,黑芝麻,食品,SELL,8.2775,8100,67047.75,50.2858125,293262.67082749994,rebalance_unlocked
adaptive_market_style,2023-01-19,600919,江苏银行,银行,SELL,9.3414,7400,69126.36,51.844770000000004,362337.18605749996,rebalance_unlocked
adaptive_market_style,2023-01-19,600996,贵广网络,影视音像,SELL,15.05,4400,66220.0,49.665,428507.5210575,rebalance_unlocked
adaptive_market_style,2023-01-19,601318,中国平安,保险,SELL,59.5422,400,23816.88,17.86266,452306.5383975,rebalance_unlocked
adaptive_market_style,2023-01-19,000858,五粮液,白酒,BUY,234.6222,200,46924.439999999995,35.193329999999996,405346.9050675,rebalance_unlocked
adaptive_market_style,2023-01-19,601012,隆基绿能,电气设备,BUY,45.4618,1100,50007.979999999996,37.505984999999995,355301.41908250004,rebalance_unlocked
adaptive_market_style,2023-01-20,601318,中国平安,保险,SELL,60.3531,800,48282.479999999996,36.211859999999994,403547.68722250004,rebalance_unlocked
adaptive_market_style,2023-01-20,300059,东方财富,证券,BUY,28.3452,1700,48186.84,36.14013,355324.70709250006,rebalance_unlocked
adaptive_market_style,2023-02-02,002155,湖南黄金,黄金,BUY,22.4401,2200,49368.22,37.026165,305919.46092750004,rebalance_unlocked
adaptive_market_style,2023-02-02,600111,北方稀土,小金属,BUY,31.0323,1600,49651.68,37.23876,256230.54216750004,rebalance_unlocked
adaptive_market_style,2023-02-09,000858,五粮液,白酒,SELL,226.9056,200,45381.119999999995,34.03584,301577.62632750004,rebalance_unlocked
adaptive_market_style,2023-02-09,601012,隆基绿能,电气设备,SELL,46.5802,1100,51238.22,38.428665,352777.41766250005,rebalance_unlocked
adaptive_market_style,2023-02-09,000977,浪潮信息,IT设备,BUY,27.4311,1900,52119.090000000004,39.08931750000001,300619.2383450001,rebalance_unlocked
adaptive_market_style,2023-02-09,300502,新易盛,通信设备,BUY,56.2401,900,50616.09,37.962067499999996,249965.1862775001,rebalance_unlocked
adaptive_market_style,2023-02-10,300059,东方财富,证券,SELL,26.9937,1700,45889.29,34.4169675,295820.0593100001,rebalance_unlocked
adaptive_market_style,2023-02-10,300308,中际旭创,通信设备,BUY,49.5222,800,39617.759999999995,29.713319999999996,256172.5859900001,rebalance_unlocked
adaptive_market_style,2023-02-16,002155,湖南黄金,黄金,SELL,23.8385,2200,52444.7,39.333525,308577.9524650001,rebalance_unlocked
adaptive_market_style,2023-02-16,600111,北方稀土,小金属,SELL,28.9567,1600,46330.72,34.74804,354873.9244250001,rebalance_unlocked
adaptive_market_style,2023-02-16,000858,五粮液,白酒,BUY,237.9179,100,23791.79,17.8438425,331064.2905825001,rebalance_unlocked
adaptive_market_style,2023-02-23,000977,浪潮信息,IT设备,SELL,37.4427,1900,71141.13,53.3558475,402152.06473500014,rebalance_unlocked
adaptive_market_style,2023-02-23,300502,新易盛,通信设备,SELL,60.5419,900,54487.71,40.8657825,456598.90895250015,rebalance_unlocked
adaptive_market_style,2023-02-23,002230,科大讯飞,软件服务,BUY,50.5083,1300,65660.79,49.245592499999994,390888.87336000014,rebalance_unlocked
adaptive_market_style,2023-02-24,300308,中际旭创,通信设备,SELL,47.5104,800,38008.32,28.506240000000002,428868.68712000013,rebalance_unlocked
adaptive_market_style,2023-02-24,000977,浪潮信息,IT设备,BUY,38.3308,1400,53663.12,40.24734,375165.31978000014,rebalance_unlocked
adaptive_market_style,2023-03-02,000858,五粮液,白酒,SELL,234.2244,100,23422.44,17.56683,398570.1929500001,rebalance_unlocked
adaptive_market_style,2023-03-02,000938,紫光股份,IT设备,BUY,26.7422,3000,80226.6,60.16995000000001,318283.4230000001,rebalance_unlocked
adaptive_market_style,2023-03-02,002261,拓维信息,软件服务,BUY,10.74,7400,79476.0,59.607,238747.8160000001,rebalance_unlocked
adaptive_market_style,2023-03-02,300229,拓尔思,软件服务,BUY,23.3426,3400,79364.84,59.52363,159323.45237000013,rebalance_unlocked
adaptive_market_style,2023-03-09,002230,科大讯飞,软件服务,SELL,49.0091,1300,63711.829999999994,47.783872499999994,222987.49849750014,rebalance_unlocked
adaptive_market_style,2023-03-10,000977,浪潮信息,IT设备,SELL,33.7892,1200,40547.04,30.41028,263504.12821750017,rebalance_unlocked
adaptive_market_style,2023-03-16,000938,紫光股份,IT设备,SELL,27.0247,3000,81074.09999999999,60.805575,344517.42264250014,rebalance_unlocked
adaptive_market_style,2023-03-16,000977,浪潮信息,IT设备,SELL,31.791,200,6358.2,4.76865,350870.85399250017,rebalance_unlocked
adaptive_market_style,2023-03-16,002261,拓维信息,软件服务,SELL,9.91,7400,73334.0,55.0005,424149.85349250014,rebalance_unlocked
adaptive_market_style,2023-03-16,300229,拓尔思,软件服务,SELL,21.0746,3400,71653.64,53.740230000000004,495749.75326250016,rebalance_unlocked
adaptive_market_style,2023-03-16,300666,江丰电子,半导体,BUY,80.3354,800,64268.32000000001,48.201240000000006,431433.23202250013,rebalance_unlocked
adaptive_market_style,2023-03-16,600941,中国移动,电信运营,BUY,111.5735,600,66944.09999999999,50.208074999999994,364438.9239475001,rebalance_unlocked
adaptive_market_style,2023-03-16,601138,工业富联,通信设备,BUY,12.9576,5300,68675.28,51.50646,295712.1374875001,rebalance_unlocked
adaptive_market_style,2023-03-16,601698,中国卫通,电信运营,BUY,24.3329,2800,68132.12,51.09909,227528.9183975001,rebalance_unlocked
adaptive_market_style,2023-03-16,603083,剑桥科技,通信设备,BUY,22.5568,3000,67670.4,50.75279999999999,159807.76559750008,rebalance_unlocked
adaptive_market_style,2023-03-30,300666,江丰电子,半导体,SELL,71.6552,800,57324.159999999996,42.99312,217088.9324775001,rebalance_unlocked
adaptive_market_style,2023-03-30,600941,中国移动,电信运营,SELL,100.1884,600,60113.04,45.08478,277156.88769750006,rebalance_unlocked
adaptive_market_style,2023-03-30,601138,工业富联,通信设备,SELL,17.5035,5300,92768.54999999999,69.57641249999999,369855.86128500005,rebalance_unlocked
adaptive_market_style,2023-03-30,601698,中国卫通,电信运营,SELL,22.0916,2800,61856.479999999996,46.39236,431665.94892500003,rebalance_unlocked
adaptive_market_style,2023-03-30,603083,剑桥科技,通信设备,SELL,39.4062,3000,118218.59999999999,88.66395,549795.884975,rebalance_unlocked
adaptive_market_style,2023-03-30,002401,中远海科,软件服务,BUY,22.6121,3800,85925.98000000001,64.44448500000001,463805.46049,rebalance_unlocked
adaptive_market_style,2023-03-30,300188,国投智能,软件服务,BUY,20.3947,4300,87697.21,65.7729075,376042.4775825,rebalance_unlocked
adaptive_market_style,2023-03-30,300502,新易盛,通信设备,BUY,87.7147,1000,87714.7,65.786025,288261.99155750003,rebalance_unlocked
adaptive_market_style,2023-03-30,300766,每日互动,互联网,BUY,18.3653,4700,86316.91,64.7376825,201880.34387500002,rebalance_unlocked
adaptive_market_style,2023-03-30,688787,海天瑞声,软件服务,BUY,348.1493,200,69629.86,52.222395,132198.26148000002,rebalance_unlocked
adaptive_market_style,2023-04-14,002401,中远海科,软件服务,SELL,27.024,3800,102691.2,77.0184,234812.44308,rebalance_unlocked
adaptive_market_style,2023-04-14,300188,国投智能,软件服务,SELL,27.9476,1100,30742.36,23.05677,265531.74631,rebalance_unlocked
adaptive_market_style,2023-04-14,300502,新易盛,通信设备,SELL,134.1671,1000,134167.1,100.625325,399598.220985,rebalance_unlocked
adaptive_market_style,2023-04-14,300766,每日互动,互联网,SELL,24.5171,4700,115230.37,86.4227775,514742.1682075,rebalance_unlocked
adaptive_market_style,2023-04-14,688787,海天瑞声,软件服务,SELL,256.3901,200,51278.020000000004,38.458515000000006,565981.7296925,rebalance_unlocked
adaptive_market_style,2023-04-14,600745,闻泰科技,半导体,BUY,64.4458,1400,90224.12000000001,67.66809,475689.9416024999,rebalance_unlocked
adaptive_market_style,2023-04-14,600809,山西汾酒,白酒,BUY,265.7506,300,79725.18000000001,59.79388500000001,395904.96771749994,rebalance_unlocked
adaptive_market_style,2023-04-14,603083,剑桥科技,通信设备,BUY,44.2449,2000,88489.8,66.36735,307348.80036749993,rebalance_unlocked
adaptive_market_style,2023-04-14,603888,新华网,互联网,BUY,53.1737,1700,90395.29,67.79646749999999,216885.71389999994,rebalance_unlocked
adaptive_market_style,2023-04-17,300188,国投智能,软件服务,SELL,26.8457,3200,85906.24,64.42968,302727.52421999996,rebalance_unlocked
adaptive_market_style,2023-04-17,002222,福晶科技,元器件,BUY,35.502,3100,110056.20000000001,82.54215,192588.78206999996,rebalance_unlocked
adaptive_market_style,2023-04-28,600745,闻泰科技,半导体,SELL,51.1953,1400,71673.42,53.755065,264208.44700499997,rebalance_unlocked
adaptive_market_style,2023-04-28,600809,山西汾酒,白酒,SELL,271.1302,300,81339.06,61.004295,345486.50271,rebalance_unlocked
adaptive_market_style,2023-04-28,603083,剑桥科技,通信设备,SELL,57.7709,600,34662.54,25.996905,380123.045805,rebalance_unlocked
adaptive_market_style,2023-04-28,603888,新华网,互联网,SELL,38.8434,1700,66033.78,49.525335,446107.30047,rebalance_unlocked
adaptive_market_style,2023-04-28,002229,鸿博股份,广告包装,BUY,18.4,4600,84640.0,63.480000000000004,361403.82047000004,rebalance_unlocked
adaptive_market_style,2023-04-28,002594,比亚迪,汽车整车,BUY,807.2178,100,80721.78,60.541335000000004,280621.49913500005,rebalance_unlocked
adaptive_market_style,2023-04-28,603019,中科曙光,IT设备,BUY,48.7753,1700,82918.01000000001,62.18850750000001,197641.30062750005,rebalance_unlocked
adaptive_market_style,2023-05-04,002222,福晶科技,元器件,SELL,30.3463,3100,94073.53,70.5551475,291644.27548000007,rebalance_unlocked
adaptive_market_style,2023-05-04,601012,隆基绿能,电气设备,BUY,35.4892,2600,92271.92,69.20394,199303.15154000005,rebalance_unlocked
adaptive_market_style,2023-05-04,603083,剑桥科技,通信设备,BUY,62.6298,100,6262.9800000000005,4.697235,193035.47430500004,rebalance_unlocked
adaptive_market_style,2023-05-05,603083,剑桥科技,通信设备,SELL,65.438,1500,98157.0,73.61775,291118.85655500006,rebalance_unlocked
adaptive_market_style,2023-05-17,002229,鸿博股份,广告包装,SELL,19.62,4600,90252.0,67.68900000000001,381303.16755500005,rebalance_unlocked
adaptive_market_style,2023-05-17,002594,比亚迪,汽车整车,SELL,818.0849,100,81808.48999999999,61.3563675,463050.3011875,rebalance_unlocked
adaptive_market_style,2023-05-17,603019,中科曙光,IT设备,SELL,44.9038,500,22451.899999999998,16.838925,485485.3622625,rebalance_unlocked
adaptive_market_style,2023-05-17,000977,浪潮信息,IT设备,BUY,35.9288,1500,53893.200000000004,40.419900000000005,431551.7423625,rebalance_unlocked
adaptive_market_style,2023-05-17,300418,昆仑万维,互联网,BUY,53.2882,1000,53288.200000000004,39.966150000000006,378223.5762125,rebalance_unlocked
adaptive_market_style,2023-05-17,601360,三六零,互联网,BUY,14.1389,3900,55141.71,41.3562825,323040.50993,rebalance_unlocked
adaptive_market_style,2023-05-18,601012,隆基绿能,电气设备,SELL,34.4016,2600,89444.16,67.08312000000001,412417.58681,rebalance_unlocked
adaptive_market_style,2023-05-18,300750,宁德时代,电气设备,BUY,258.214,200,51642.8,38.7321,360736.05471,rebalance_unlocked
adaptive_market_style,2023-05-18,603019,中科曙光,IT设备,BUY,46.4382,400,18575.280000000002,13.931460000000001,342146.84325,rebalance_unlocked
adaptive_market_style,2023-05-19,603019,中科曙光,IT设备,BUY,49.1716,300,14751.48,11.06361,327384.29964,rebalance_unlocked
adaptive_market_style,2023-05-22,603019,中科曙光,IT设备,BUY,47.1495,100,4714.950000000001,3.5362125000000004,322665.81342749996,rebalance_unlocked
adaptive_market_style,2023-05-23,603019,中科曙光,IT设备,BUY,46.489,100,4648.9,3.486675,318013.42675249994,rebalance_unlocked
adaptive_market_style,2023-05-24,603019,中科曙光,IT设备,SELL,45.6049,600,27362.94,20.522205,345355.84454749996,rebalance_unlocked
adaptive_market_style,2023-05-25,603019,中科曙光,IT设备,SELL,47.3832,100,4738.320000000001,3.5537400000000003,350090.61080749996,rebalance_unlocked
adaptive_market_style,2023-05-29,603019,中科曙光,IT设备,SELL,51.4376,100,5143.76,3.8578200000000002,355230.51298749994,rebalance_unlocked
adaptive_market_style,2023-05-30,603019,中科曙光,IT设备,SELL,50.015,1300,65019.5,48.764625,420201.24836249993,rebalance_unlocked
adaptive_market_style,2023-05-30,603918,金桥信息,软件服务,BUY,25.3842,4100,104075.22,78.056415,316047.9719474999,rebalance_unlocked
adaptive_market_style,2023-05-31,000977,浪潮信息,IT设备,SELL,44.911,1500,67366.5,50.524875,383363.9470724999,rebalance_unlocked
adaptive_market_style,2023-05-31,300418,昆仑万维,互联网,SELL,56.0728,1000,56072.8,42.0546,439394.6924724999,rebalance_unlocked
adaptive_market_style,2023-05-31,601360,三六零,互联网,SELL,14.4486,3900,56349.54,42.262155,495701.97031749994,rebalance_unlocked
adaptive_market_style,2023-05-31,300308,中际旭创,通信设备,BUY,149.1716,300,44751.48,33.563610000000004,450916.92670749995,rebalance_unlocked
adaptive_market_style,2023-05-31,300620,光库科技,通信设备,BUY,58.7268,900,52854.119999999995,39.640589999999996,398023.16611749993,rebalance_unlocked
adaptive_market_style,2023-05-31,601012,隆基绿能,电气设备,BUY,30.1643,1700,51279.310000000005,38.45948250000001,346705.3966349999,rebalance_unlocked
adaptive_market_style,2023-06-01,300750,宁德时代,电气设备,SELL,238.2199,200,47643.979999999996,35.732985,394313.64364999987,rebalance_unlocked
adaptive_market_style,2023-06-01,300678,中科信息,软件服务,BUY,51.3404,1400,71876.56,53.90742,322383.17622999987,rebalance_unlocked
adaptive_market_style,2023-06-13,603918,金桥信息,软件服务,SELL,34.3459,4100,140818.19,105.6136425,463095.7525874999,rebalance_unlocked
adaptive_market_style,2023-06-13,300339,润和软件,软件服务,BUY,26.0967,4700,122654.48999999999,91.9908675,340349.2717199999,rebalance_unlocked
adaptive_market_style,2023-06-14,300308,中际旭创,通信设备,SELL,174.1194,300,52235.82000000001,39.17686500000001,392545.9148549999,rebalance_unlocked
adaptive_market_style,2023-06-14,300620,光库科技,通信设备,SELL,55.5537,900,49998.33,37.4987475,442506.74610749993,rebalance_unlocked
adaptive_market_style,2023-06-14,601012,隆基绿能,电气设备,SELL,28.4812,1700,48418.04,36.31353,490888.4725774999,rebalance_unlocked
adaptive_market_style,2023-06-14,000681,视觉中国,互联网,BUY,21.6902,2200,47718.44,35.788830000000004,443134.24374749995,rebalance_unlocked
adaptive_market_style,2023-06-14,600602,云赛智联,软件服务,BUY,12.9661,3800,49271.18,36.953385000000004,393826.11036249995,rebalance_unlocked
