strategy,event_type,mark_price_basis,order_status,event_timestamp,symbol,side,planned_shares,planned_price,planned_notional,planned_fee,signal_date,execution_date,order_id,cost_rate,lot_size,filled_shares,filled_price,filled_notional,fee,reject_reason,remaining_shares
vls_mom_contrarian_v1,order,raw,PLANNED,2022-02-08T15:00:00+08:00,000635,BUY,4600,10.648,48980.799999999996,36.7356,2022-02-08,2022-02-09,2022-02-08:000635:BUY,0.00075,100.0,,,,,,
vls_mom_contrarian_v1,order,raw,FILLED,2022-02-09T09:30:00+08:00,000635,BUY,4600,,,,2022-02-08,2022-02-09,2022-02-08:000635:BUY,,,4600.0,9.74974,44848.804,33.636603,,0.0
vls_mom_contrarian_v1,order,raw,PLANNED,2022-02-08T15:00:00+08:00,000705,BUY,5600,8.78911,49219.016,36.914262,2022-02-08,2022-02-09,2022-02-08:000705:BUY,0.00075,100.0,,,,,,
vls_mom_contrarian_v1,order,raw,FILLED,2022-02-09T09:30:00+08:00,000705,BUY,5600,,,,2022-02-08,2022-02-09,2022-02-08:000705:BUY,,,5600.0,8.0084004,44847.042239999995,33.63528168,,0.0
vls_mom_contrarian_v1,order,raw,PLANNED,2022-02-08T15:00:00+08:00,002094,BUY,11500,4.33,49795.0,37.34625,2022-02-08,2022-02-09,2022-02-08:002094:BUY,0.00075,100.0,,,,,,
vls_mom_contrarian_v1,order,raw,FILLED,2022-02-09T09:30:00+08:00,002094,BUY,11500,,,,2022-02-08,2022-02-09,2022-02-08:002094:BUY,,,11500.0,3.95395,45470.424999999996,34.10281875,,0.0
vls_mom_contrarian_v1,order,raw,PLANNED,2022-02-08T15:00:00+08:00,002144,BUY,4300,11.39,48977.0,36.73275,2022-02-08,2022-02-09,2022-02-08:002144:BUY,0.00075,100.0,,,,,,
vls_mom_contrarian_v1,order,raw,FILLED,2022-02-09T09:30:00+08:00,002144,BUY,4300,,,,2022-02-08,2022-02-09,2022-02-08:002144:BUY,,,4300.0,10.358147799999998,44540.03553999999,33.40502665499999,,0.0
vls_mom_contrarian_v1,order,raw,PLANNED,2022-02-08T15:00:00+08:00,002363,BUY,7500,6.658520000000001,49938.90000000001,37.454175000000006,2022-02-08,2022-02-09,2022-02-08:002363:BUY,0.00075,100.0,,,,,,
vls_mom_contrarian_v1,order,raw,FILLED,2022-02-09T09:30:00+08:00,002363,BUY,7500,,,,2022-02-08,2022-02-09,2022-02-08:002363:BUY,,,7500.0,6.0703643,45527.732249999994,34.145799187499996,,0.0
