strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1,2022-02-09,000635,,化工原料,4600,2022-02-09,1,9.77,44942.0,0.08931274723392585
vls_mom_contrarian_v1,2022-02-09,000705,,医药商业,5600,2022-02-09,1,8.0932,45321.92,0.09006775811303921
vls_mom_contrarian_v1,2022-02-09,002094,,日用化工,11500,2022-02-09,1,3.95,45425.0,0.090272607874618
vls_mom_contrarian_v1,2022-02-09,002144,,纺织,4300,2022-02-09,1,10.3793,44630.990000000005,0.08869468044746279
vls_mom_contrarian_v1,2022-02-09,002363,,汽车配件,7500,2022-02-09,1,6.1856,46392.0,0.09219431644511343
vls_mom_contrarian_v1,2022-02-09,002365,,化学制药,4700,2022-02-09,1,9.6731,45463.57,0.09034925761563559
vls_mom_contrarian_v1,2022-02-09,002394,,纺织,4900,2022-02-09,1,9.2587,45367.63,0.09015859709831052
vls_mom_contrarian_v1,2022-02-09,002403,,家用电器,6600,2022-02-09,1,6.9996,46197.36,0.09180751049251651
vls_mom_contrarian_v1,2022-02-09,002521,,造纸,6700,2022-02-09,1,6.7181,45011.27,0.08945040675065616
vls_mom_contrarian_v1,2022-02-09,002566,,中成药,5300,2022-02-09,1,8.626,45717.799999999996,0.09085448612636676
vls_mom_contrarian_v1,2022-02-10,000635,,化工原料,4600,2022-02-09,2,9.8,45080.0,0.08945440383977694
vls_mom_contrarian_v1,2022-02-10,000705,,医药商业,5600,2022-02-09,2,8.1963,45899.280000000006,0.09108014039651725
vls_mom_contrarian_v1,2022-02-10,002094,,日用化工,11500,2022-02-09,2,3.99,45885.0,0.09105180390834439
vls_mom_contrarian_v1,2022-02-10,002144,,纺织,4300,2022-02-09,2,10.3793,44630.990000000005,0.08856341178414034
vls_mom_contrarian_v1,2022-02-10,002363,,汽车配件,7500,2022-02-09,2,6.1414,46060.5,0.0914000569667712
vls_mom_contrarian_v1,2022-02-10,002365,,化学制药,4700,2022-02-09,2,9.6524,45366.28,0.09002248295981358
vls_mom_contrarian_v1,2022-02-10,002394,,纺织,4900,2022-02-09,2,9.2934,45537.66,0.09036256050484599
vls_mom_contrarian_v1,2022-02-10,002403,,家用电器,6600,2022-02-09,2,6.9595,45932.700000000004,0.09114645730371168
vls_mom_contrarian_v1,2022-02-10,002521,,造纸,6700,2022-02-09,2,6.7405,45161.35,0.08961583054235826
vls_mom_contrarian_v1,2022-02-10,002566,,中成药,5300,2022-02-09,2,8.6154,45661.619999999995,0.09060854027192625
vls_mom_contrarian_v1,2022-02-11,000635,,化工原料,4600,2022-02-09,3,9.56,43976.0,0.08911262290083372
vls_mom_contrarian_v1,2022-02-11,000705,,医药商业,5600,2022-02-09,3,7.8457,43935.92,0.089031405101901
vls_mom_contrarian_v1,2022-02-11,002094,,日用化工,11500,2022-02-09,3,3.89,44735.0,0.09065065457223932
vls_mom_contrarian_v1,2022-02-11,002144,,纺织,4300,2022-02-09,3,10.2534,44089.619999999995,0.0893428615813411
vls_mom_contrarian_v1,2022-02-11,002363,,汽车配件,7500,2022-02-09,3,6.0202,45151.5,0.09149464691893291
vls_mom_contrarian_v1,2022-02-11,002365,,化学制药,4700,2022-02-09,3,9.4863,44585.61,0.09034793184313356
vls_mom_contrarian_v1,2022-02-11,002394,,纺织,4900,2022-02-09,3,9.1892,45027.079999999994,0.09124252320278496
vls_mom_contrarian_v1,2022-02-11,002403,,家用电器,6600,2022-02-09,3,6.8293,45073.38,0.0913363451611329
vls_mom_contrarian_v1,2022-02-11,002521,,造纸,6700,2022-02-09,3,6.6395,44484.65,0.09014334728773815
vls_mom_contrarian_v1,2022-02-11,002566,,中成药,5300,2022-02-09,3,8.2454,43700.62,0.08855459501984338
vls_mom_contrarian_v1,2022-02-14,000635,,化工原料,4600,2022-02-09,4,9.46,43516.00000000001,0.08784910078763598
vls_mom_contrarian_v1,2022-02-14,000705,,医药商业,5600,2022-02-09,4,7.8767,44109.52,0.0890472853243461
vls_mom_contrarian_v1,2022-02-14,002094,,日用化工,11500,2022-02-09,4,3.9,44850.0,0.09054214933186583
vls_mom_contrarian_v1,2022-02-14,002144,,纺织,4300,2022-02-09,4,10.4002,44720.86,0.09028144446754661
vls_mom_contrarian_v1,2022-02-14,002363,,汽车配件,7500,2022-02-09,4,6.0753,45564.75,0.09198507020666964
vls_mom_contrarian_v1,2022-02-14,002365,,化学制药,4700,2022-02-09,4,9.4344,44341.68,0.08951596459723096
vls_mom_contrarian_v1,2022-02-14,002394,,纺织,4900,2022-02-09,4,9.2471,45310.79,0.09147238159475614
vls_mom_contrarian_v1,2022-02-14,002403,,家用电器,6600,2022-02-09,4,6.8794,45404.04,0.09166063255183968
vls_mom_contrarian_v1,2022-02-14,002521,,造纸,6700,2022-02-09,4,6.6732,44710.439999999995,0.09026040881100171
vls_mom_contrarian_v1,2022-02-14,002566,,中成药,5300,2022-02-09,4,8.3194,44092.82,0.08901357174811773
vls_mom_contrarian_v1,2022-02-15,000635,,化工原料,4600,2022-02-09,5,9.37,43102.0,0.08690026101640767
vls_mom_contrarian_v1,2022-02-15,000705,,医药商业,5600,2022-02-09,5,8.3303,46649.67999999999,0.09405292952373188
vls_mom_contrarian_v1,2022-02-15,002094,,日用化工,11500,2022-02-09,5,3.84,44160.0,0.08903335173506015
vls_mom_contrarian_v1,2022-02-15,002144,,纺织,4300,2022-02-09,5,10.4946,45126.78,0.0909825289042273
vls_mom_contrarian_v1,2022-02-15,002363,,汽车配件,7500,2022-02-09,5,6.1084,45813.0,0.09236605396372986
vls_mom_contrarian_v1,2022-02-15,002365,,化学制药,4700,2022-02-09,5,9.4448,44390.560000000005,0.08949819615480734
vls_mom_contrarian_v1,2022-02-15,002394,,纺织,4900,2022-02-09,5,9.1196,44686.04,0.09009392927914328
vls_mom_contrarian_v1,2022-02-15,002403,,家用电器,6600,2022-02-09,5,6.7592,44610.72,0.08994207257505168
vls_mom_contrarian_v1,2022-02-15,002521,,造纸,6700,2022-02-09,5,6.6283,44409.61,0.08953660388466586
vls_mom_contrarian_v1,2022-02-15,002566,,中成药,5300,2022-02-09,5,8.3617,44317.01,0.08934990804293882
vls_mom_contrarian_v1,2022-02-16,000635,,化工原料,4600,2022-02-09,6,9.67,44482.0,0.08888980239829962
vls_mom_contrarian_v1,2022-02-16,000705,,医药商业,5600,2022-02-09,6,8.1859,45841.04,0.09160561546991026
vls_mom_contrarian_v1,2022-02-16,002094,,日用化工,11500,2022-02-09,6,3.88,44620.0,0.08916557220925608
vls_mom_contrarian_v1,2022-02-16,002144,,纺织,4300,2022-02-09,6,10.5994,45577.42,0.09107881519770489
vls_mom_contrarian_v1,2022-02-16,002363,,汽车配件,7500,2022-02-09,6,6.1856,46392.0,0.09270661644849412
vls_mom_contrarian_v1,2022-02-16,002365,,化学制药,4700,2022-02-09,6,9.5382,44829.54,0.08958430268887795
vls_mom_contrarian_v1,2022-02-16,002394,,纺织,4900,2022-02-09,6,9.2123,45140.270000000004,0.09020524437988157
vls_mom_contrarian_v1,2022-02-16,002403,,家用电器,6600,2022-02-09,6,6.8594,45272.04,0.09046856458270573
vls_mom_contrarian_v1,2022-02-16,002521,,造纸,6700,2022-02-09,6,6.7405,45161.35,0.09024736921767115
vls_mom_contrarian_v1,2022-02-16,002566,,中成药,5300,2022-02-09,6,8.3723,44373.189999999995,0.08867236389735632
vls_mom_contrarian_v1,2022-02-17,000635,,化工原料,4600,2022-02-09,7,9.55,43930.0,0.08852611524630653
vls_mom_contrarian_v1,2022-02-17,000705,,医药商业,5600,2022-02-09,7,7.9901,44744.56,0.09016758650592482
vls_mom_contrarian_v1,2022-02-17,002094,,日用化工,11500,2022-02-09,7,3.82,43930.0,0.08852611524630653
vls_mom_contrarian_v1,2022-02-17,002144,,纺织,4300,2022-02-09,7,10.7881,46388.83,0.09348105874621722
vls_mom_contrarian_v1,2022-02-17,002363,,汽车配件,7500,2022-02-09,7,6.1084,45813.0,0.09232066737489282
vls_mom_contrarian_v1,2022-02-17,002365,,化学制药,4700,2022-02-09,7,9.4344,44341.68,0.08935571759378205
vls_mom_contrarian_v1,2022-02-17,002394,,纺织,4900,2022-02-09,7,9.1428,44799.719999999994,0.09027874290285143
vls_mom_contrarian_v1,2022-02-17,002403,,家用电器,6600,2022-02-09,7,6.8494,45206.04,0.09109754397607883
vls_mom_contrarian_v1,2022-02-17,002521,,造纸,6700,2022-02-09,7,6.6732,44710.439999999995,0.09009882914074831
vls_mom_contrarian_v1,2022-02-17,002566,,中成药,5300,2022-02-09,7,8.2349,43644.97,0.08795173330620513
vls_mom_contrarian_v1,2022-02-18,000635,,化工原料,4600,2022-02-09,8,9.64,44344.0,0.08876541280997759
vls_mom_contrarian_v1,2022-02-18,000705,,医药商业,5600,2022-02-09,8,8.0313,44975.28,0.09002907485667348
vls_mom_contrarian_v1,2022-02-18,002094,,日用化工,11500,2022-02-09,8,3.84,44160.0,0.08839709159499844
vls_mom_contrarian_v1,2022-02-18,002144,,纺织,4300,2022-02-09,8,10.6099,45622.57,0.09132478485256403
vls_mom_contrarian_v1,2022-02-18,002363,,汽车配件,7500,2022-02-09,8,6.1745,46308.75,0.09269834274003359
vls_mom_contrarian_v1,2022-02-18,002365,,化学制药,4700,2022-02-09,8,9.559,44927.299999999996,0.0899330310963762
vls_mom_contrarian_v1,2022-02-18,002394,,纺织,4900,2022-02-09,8,9.2587,45367.63,0.09081445979524452
vls_mom_contrarian_v1,2022-02-18,002403,,家用电器,6600,2022-02-09,8,6.9395,45800.7,0.09168135582008706
vls_mom_contrarian_v1,2022-02-18,002521,,造纸,6700,2022-02-09,8,6.7517,45236.39,0.09055175068516919
vls_mom_contrarian_v1,2022-02-18,002566,,中成药,5300,2022-02-09,8,8.3194,44092.82,0.08826261431661636
vls_mom_contrarian_v1,2022-02-21,000635,,化工原料,4600,2022-02-09,9,9.76,44896.0,0.0884279794543513
vls_mom_contrarian_v1,2022-02-21,000705,,医药商业,5600,2022-02-09,9,8.4334,47227.04,0.09301923830207205
vls_mom_contrarian_v1,2022-02-21,002094,,日用化工,11500,2022-02-09,9,3.94,45310.0,0.08924340139604102
vls_mom_contrarian_v1,2022-02-21,002144,,纺织,4300,2022-02-09,9,10.7777,46344.11,0.09128020329005249
vls_mom_contrarian_v1,2022-02-21,002363,,汽车配件,7500,2022-02-09,9,6.2297,46722.75,0.09202597953160176
vls_mom_contrarian_v1,2022-02-21,002365,,化学制药,4700,2022-02-09,9,9.7769,45951.43,0.09050677360874158
vls_mom_contrarian_v1,2022-02-21,002394,,纺织,4900,2022-02-09,9,9.305,45594.5,0.08980375777867561
vls_mom_contrarian_v1,2022-02-21,002403,,家用电器,6600,2022-02-09,9,6.9895,46130.7,0.09085986706643895
vls_mom_contrarian_v1,2022-02-21,002521,,造纸,6700,2022-02-09,9,6.8302,45762.34,0.09013433850015677
vls_mom_contrarian_v1,2022-02-21,002566,,中成药,5300,2022-02-09,9,8.4991,45045.23,0.08872190558082077
vls_mom_contrarian_v1,2022-02-22,000635,,化工原料,4600,2022-02-09,10,9.59,44114.0,0.0877870391673264
vls_mom_contrarian_v1,2022-02-22,000705,,医药商业,5600,2022-02-09,10,8.2994,46476.64,0.09248870236309854
vls_mom_contrarian_v1,2022-02-22,002094,,日用化工,11500,2022-02-09,10,3.88,44620.0,0.08879398122242609
vls_mom_contrarian_v1,2022-02-22,002144,,纺织,4300,2022-02-09,10,10.6204,45667.72,0.09087894827770085
vls_mom_contrarian_v1,2022-02-22,002363,,汽车配件,7500,2022-02-09,10,6.1525,46143.75,0.09182624991107852
vls_mom_contrarian_v1,2022-02-22,002365,,化学制药,4700,2022-02-09,10,9.7562,45854.14,0.09124992483483856
vls_mom_contrarian_v1,2022-02-22,002394,,纺织,4900,2022-02-09,10,9.2239,45197.11,0.0899424324663363
vls_mom_contrarian_v1,2022-02-22,002403,,家用电器,6600,2022-02-09,10,6.9194,45668.04,0.09087958507900051
vls_mom_contrarian_v1,2022-02-22,002521,,造纸,6700,2022-02-09,10,6.8078,45612.26,0.09076858265245218
vls_mom_contrarian_v1,2022-02-22,002566,,中成药,5300,2022-02-09,10,8.3829,44429.369999999995,0.0884146267481896
vls_mom_contrarian_v1,2022-02-23,000635,,化工原料,4600,2022-02-09,11,9.76,44896.0,0.0887675378893978
vls_mom_contrarian_v1,2022-02-23,000705,,医药商业,5600,2022-02-09,11,8.2994,46476.64,0.09189274995928148
vls_mom_contrarian_v1,2022-02-23,002094,,日用化工,11500,2022-02-09,11,3.94,45310.0,0.08958609100518118
vls_mom_contrarian_v1,2022-02-23,002144,,纺织,4300,2022-02-09,11,10.6833,45938.189999999995,0.0908281366134033
vls_mom_contrarian_v1,2022-02-23,002363,,汽车配件,7500,2022-02-09,11,6.1856,46392.0,0.09172540132227688
vls_mom_contrarian_v1,2022-02-23,002365,,化学制药,4700,2022-02-09,11,9.8184,46146.48,0.09123996373535144
vls_mom_contrarian_v1,2022-02-23,002394,,纺织,4900,2022-02-09,11,9.2703,45424.47,0.08981241896451385
vls_mom_contrarian_v1,2022-02-23,002403,,家用电器,6600,2022-02-09,11,6.9395,45800.7,0.09055629393734278
vls_mom_contrarian_v1,2022-02-23,002521,,造纸,6700,2022-02-09,11,6.8078,45612.26,0.09018371386696063
vls_mom_contrarian_v1,2022-02-23,002566,,中成药,5300,2022-02-09,11,8.4991,45045.23,0.08906259267555326
vls_mom_contrarian_v1,2022-02-24,000635,,化工原料,4600,2022-02-09,12,9.43,43378.0,0.08782901814238812
vls_mom_contrarian_v1,2022-02-24,000705,,医药商业,5600,2022-02-09,12,8.1344,45552.64,0.09223209103678535
vls_mom_contrarian_v1,2022-02-24,002094,,日用化工,11500,2022-02-09,12,3.86,44390.0,0.08987805143945338
vls_mom_contrarian_v1,2022-02-24,002144,,纺织,4300,2022-02-09,12,10.4002,44720.86,0.09054795574446031
vls_mom_contrarian_v1,2022-02-24,002363,,汽车配件,7500,2022-02-09,12,5.9871,44903.25,0.09091724742731776
vls_mom_contrarian_v1,2022-02-24,002365,,化学制药,4700,2022-02-09,12,9.5797,45024.590000000004,0.09116292894931964
vls_mom_contrarian_v1,2022-02-24,002394,,纺织,4900,2022-02-09,12,9.0733,44459.17,0.0900181024603605
vls_mom_contrarian_v1,2022-02-24,002403,,家用电器,6600,2022-02-09,12,6.6991,44214.06,0.08952181930676004
vls_mom_contrarian_v1,2022-02-24,002521,,造纸,6700,2022-02-09,12,6.6059,44259.53,0.0896138840735758
vls_mom_contrarian_v1,2022-02-24,002566,,中成药,5300,2022-02-09,12,8.3511,44260.83,0.08961651623097323
vls_mom_contrarian_v1,2022-02-25,000635,,化工原料,4600,2022-02-09,13,9.36,43056.0,0.08614361863267384
vls_mom_contrarian_v1,2022-02-25,000705,,医药商业,5600,2022-02-09,13,8.2787,46360.72,0.09275548548904158
vls_mom_contrarian_v1,2022-02-25,002094,,日用化工,11500,2022-02-09,13,3.89,44735.0,0.08950285162422575
vls_mom_contrarian_v1,2022-02-25,002144,,纺织,4300,2022-02-09,13,10.6099,45622.57,0.09127864342071874
vls_mom_contrarian_v1,2022-02-25,002363,,汽车配件,7500,2022-02-09,13,6.0973,45729.75,0.09149308212949453
vls_mom_contrarian_v1,2022-02-25,002365,,化学制药,4700,2022-02-09,13,9.7769,45951.43,0.09193660492256614
vls_mom_contrarian_v1,2022-02-25,002394,,纺织,4900,2022-02-09,13,9.0733,44459.17,0.08895098906552427
vls_mom_contrarian_v1,2022-02-25,002403,,家用电器,6600,2022-02-09,13,6.7993,44875.38,0.08978371471377551
vls_mom_contrarian_v1,2022-02-25,002521,,造纸,6700,2022-02-09,13,6.6956,44860.52,0.08975398380117607
vls_mom_contrarian_v1,2022-02-25,002566,,中成药,5300,2022-02-09,13,8.5731,45437.43,0.09090822746118574
vls_mom_contrarian_v1,2022-02-28,000635,,化工原料,4600,2022-02-09,14,9.36,43056.0,0.08618019314232388
vls_mom_contrarian_v1,2022-02-28,000705,,医药商业,5600,2022-02-09,14,8.2581,46245.36,0.09256396452843504
vls_mom_contrarian_v1,2022-02-28,002094,,日用化工,11500,2022-02-09,14,4.04,46460.0,0.09299358448049906
vls_mom_contrarian_v1,2022-02-28,002144,,纺织,4300,2022-02-09,14,10.5575,45397.25,0.09086640127114369
vls_mom_contrarian_v1,2022-02-28,002363,,汽车配件,7500,2022-02-09,14,6.0422,45316.5,0.09070477337732534
