strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,70.94927329306242,99.67,24.07,93.35529928610653,54.76844224784917,69.88833974006955,14.863628043199705,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score,79.56,79.56,79.56,84.14823357129782,99.23,22.7,98.02306425041186,94.19732747574592,78.03404722679846,84.42247849167124,70.82,,,,,,,22.96,29.94,0.3040069686411151
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,85.71824272377815,99.08,28.64,95.8264689730917,81.56690463115504,93.3369943254622,21.306974190005494,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,84.46961742632254,98.77,28.53,95.46036976020501,72.43272926963206,94.2339373970346,23.375434742815305,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002837,英维克,,1,bs_score_v2,68.45,74.88,74.88,89.88095917993776,98.81,29.77,96.50375251693208,86.34449935932638,99.24949661358228,30.477759472817134,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,688017,绿的谐波,,1,bs_score_v2,67.07,68.82,68.82,89.34807248764416,49.09,28.78,88.44956983342486,71.24290682775032,94.69156141314296,83.94654951491854,67.07,,,,,WATCH,,242.42,208.34,-0.14058246019305332
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300308,中际旭创,,0,s_liquidity,30.0,25.66,25.66,82.68991396668497,49.09,30.0,56.30605894197327,66.28226249313563,99.835255354201,65.11074501189822,34.08,,,,,,,542.6409,526.612,-0.02953868755561928
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,601899,紫金矿业,,0,s_liquidity,29.99,44.82,44.82000000000001,79.65168588687534,49.09,29.99,66.19073768991397,21.306974190005494,99.87186527548965,82.50045762401611,54.01,,,,,,,39.49,36.4,-0.07824765763484431
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300502,新易盛,,0,s_liquidity,29.99,24.93,24.93,81.44557203002013,49.09,29.99,43.986820428336074,66.11751784733663,99.79864543291231,77.74116785648911,35.35,,,,,,,368.0,384.0,0.04347826086956519
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300750,宁德时代,,0,s_liquidity,29.98,54.83,54.83,80.00170602233206,49.09,29.98,55.06132161815852,46.05528098114589,99.81695039355665,71.35273659161633,52.9,,,,,,,378.4837,363.1063,-0.0406289623568995
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300058,蓝色光标,,0,s_liquidity,29.98,35.74,35.74,83.40002196595276,49.09,29.98,49.67966318872414,62.03551162365001,99.19458173164928,93.06241991579718,42.92,,,,,,,19.39,16.77,-0.13512119649303767
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,80.4987808896211,99.86,24.26,99.72542559033498,87.80889621087314,96.83324180853012,5.107084019769357,67.17,,,,,,,35.83,27.42,-0.23471950879151537
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,86.3398352553542,99.86,26.53,97.76679480139117,92.14717188358044,80.65165659893832,54.93318689364818,64.78,,,,,,,190.0,192.03,0.010684210526315852
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,80.88840563792786,98.57,26.79,93.79461834157057,67.54530477759472,94.1790225151016,21.508328757093174,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
