strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason
adaptive_market_style,2023-01-05,000858,五粮液,白酒,BUY,206.2675,200,41253.5,30.940125000000002,458715.559875,rebalance_unlocked
adaptive_market_style,2023-01-05,002603,以岭药业,中成药,BUY,31.1776,1600,49884.16,37.413120000000006,408793.98675499996,rebalance_unlocked
adaptive_market_style,2023-01-05,300059,东方财富,证券,BUY,23.8645,2000,47729.0,35.79675,361029.190005,rebalance_unlocked
adaptive_market_style,2023-01-19,002603,以岭药业,中成药,SELL,30.363,1600,48580.8,36.4356,409573.554405,rebalance_unlocked
adaptive_market_style,2023-01-19,300059,东方财富,证券,SELL,27.5781,2000,55156.2,41.367149999999995,464688.387255,rebalance_unlocked
adaptive_market_style,2023-01-19,601012,隆基绿能,电气设备,BUY,45.4618,1100,50007.979999999996,37.505984999999995,414642.90127000003,rebalance_unlocked
adaptive_market_style,2023-01-19,601318,中国平安,保险,BUY,59.5422,800,47633.76,35.72532,366973.41595000005,rebalance_unlocked
adaptive_market_style,2023-02-09,000858,五粮液,白酒,SELL,226.9056,200,45381.119999999995,34.03584,412320.50011,rebalance_unlocked
adaptive_market_style,2023-02-09,601012,隆基绿能,电气设备,SELL,46.5802,1100,51238.22,38.428665,463520.29144500004,rebalance_unlocked
adaptive_market_style,2023-02-09,601318,中国平安,保险,SELL,56.1828,800,44946.24,33.70968,508432.82176500006,rebalance_unlocked
adaptive_market_style,2023-02-09,000977,浪潮信息,IT设备,BUY,27.4311,1800,49375.98,37.031985000000006,459019.80978000007,rebalance_unlocked
adaptive_market_style,2023-02-09,002155,湖南黄金,黄金,BUY,23.0927,2200,50803.94,38.102955,408177.76682500006,rebalance_unlocked
adaptive_market_style,2023-02-09,300308,中际旭创,通信设备,BUY,46.4271,1000,46427.100000000006,34.820325000000004,361715.84650000004,rebalance_unlocked
adaptive_market_style,2023-02-09,300339,润和软件,软件服务,BUY,24.1339,2100,50681.19,38.010892500000004,310996.64560750005,rebalance_unlocked
adaptive_market_style,2023-02-09,300502,新易盛,通信设备,BUY,56.2401,900,50616.09,37.962067499999996,260342.59354000006,rebalance_unlocked
adaptive_market_style,2023-02-23,000977,浪潮信息,IT设备,SELL,37.4427,400,14977.080000000002,11.232810000000002,275308.4407300001,rebalance_unlocked
adaptive_market_style,2023-02-23,002155,湖南黄金,黄金,SELL,24.1048,2200,53030.560000000005,39.772920000000006,328299.22781000007,rebalance_unlocked
adaptive_market_style,2023-02-23,300308,中际旭创,通信设备,SELL,47.2009,1000,47200.899999999994,35.400675,375464.72713500005,rebalance_unlocked
adaptive_market_style,2023-02-23,300339,润和软件,软件服务,SELL,24.935,2100,52363.5,39.272625,427788.95451000007,rebalance_unlocked
adaptive_market_style,2023-02-23,300502,新易盛,通信设备,SELL,60.5419,900,54487.71,40.8657825,482235.7987275001,rebalance_unlocked
adaptive_market_style,2023-02-23,000756,新华制药,化学制药,BUY,32.0353,1600,51256.479999999996,38.44236,430940.87636750005,rebalance_unlocked
adaptive_market_style,2023-02-23,002261,拓维信息,软件服务,BUY,10.25,5200,53300.0,39.975,377600.9013675001,rebalance_unlocked
adaptive_market_style,2023-02-23,002317,众生药业,中成药,BUY,25.0313,2100,52565.73,39.4242975,324995.74707000004,rebalance_unlocked
adaptive_market_style,2023-02-23,603019,中科曙光,IT设备,BUY,30.5862,1700,51996.54,38.997405,272960.20966500003,rebalance_unlocked
adaptive_market_style,2023-02-24,000977,浪潮信息,IT设备,BUY,38.3308,100,3833.0800000000004,2.8748100000000005,269124.254855,rebalance_unlocked
adaptive_market_style,2023-02-27,000977,浪潮信息,IT设备,SELL,38.351,100,3835.1,2.876325,272956.47853,rebalance_unlocked
adaptive_market_style,2023-02-28,000977,浪潮信息,IT设备,SELL,38.5629,1400,53988.06,40.491045,326904.047485,rebalance_unlocked
adaptive_market_style,2023-02-28,300118,东方日升,电气设备,BUY,32.387,1700,55057.9,41.293425,271804.85406,rebalance_unlocked
adaptive_market_style,2023-03-09,000756,新华制药,化学制药,SELL,29.6561,1600,47449.759999999995,35.58732,319219.02674,rebalance_unlocked
adaptive_market_style,2023-03-09,002261,拓维信息,软件服务,SELL,11.16,5200,58032.0,43.524,377207.50274,rebalance_unlocked
adaptive_market_style,2023-03-09,002317,众生药业,中成药,SELL,22.7889,2100,47856.69,35.892517500000004,425028.30022250005,rebalance_unlocked
adaptive_market_style,2023-03-09,603019,中科曙光,IT设备,SELL,33.4924,1700,56937.08000000001,42.70281000000001,481922.6774125001,rebalance_unlocked
adaptive_market_style,2023-03-09,000519,中兵红箭,专用机械,BUY,25.3598,3600,91295.28,68.47146000000001,390558.9259525001,rebalance_unlocked
adaptive_market_style,2023-03-09,000547,航天发展,通信设备,BUY,11.9383,7800,93118.74,69.839055,297370.3468975001,rebalance_unlocked
adaptive_market_style,2023-03-09,600900,长江电力,水力发电,BUY,23.2692,4000,93076.8,69.80760000000001,204223.7392975001,rebalance_unlocked
adaptive_market_style,2023-03-09,600941,中国移动,电信运营,BUY,99.6533,900,89687.97,67.2659775,114468.5033200001,rebalance_unlocked
adaptive_market_style,2023-03-14,300118,东方日升,电气设备,SELL,30.804,1700,52366.799999999996,39.275099999999995,166796.0282200001,rebalance_unlocked
adaptive_market_style,2023-03-14,600809,山西汾酒,白酒,BUY,291.7232,200,58344.64000000001,43.758480000000006,108407.62974000009,rebalance_unlocked
adaptive_market_style,2023-03-23,000519,中兵红箭,专用机械,SELL,23.176,3600,83433.59999999999,62.575199999999995,191778.65454000008,rebalance_unlocked
adaptive_market_style,2023-03-23,000547,航天发展,通信设备,SELL,11.4563,7800,89359.14,67.019355,281070.7751850001,rebalance_unlocked
adaptive_market_style,2023-03-23,600900,长江电力,水力发电,SELL,23.236,4000,92944.0,69.708,373945.0671850001,rebalance_unlocked
adaptive_market_style,2023-03-23,600941,中国移动,电信运营,SELL,104.0935,900,93684.15000000001,70.2631125,467558.9540725001,rebalance_unlocked
adaptive_market_style,2023-03-23,000938,紫光股份,IT设备,BUY,29.5264,3900,115152.95999999999,86.36471999999999,352319.62935250014,rebalance_unlocked
adaptive_market_style,2023-03-23,300182,捷成股份,影视音像,BUY,6.15,19000,116850.0,87.6375,235381.99185250013,rebalance_unlocked
adaptive_market_style,2023-03-23,300418,昆仑万维,互联网,BUY,32.7943,3500,114780.05,86.0850375,120515.85681500012,rebalance_unlocked
adaptive_market_style,2023-03-23,600556,天下秀,互联网,BUY,8.9191,13100,116840.21,87.63015750000001,3588.0166575001203,rebalance_unlocked
adaptive_market_style,2023-03-28,600809,山西汾酒,白酒,SELL,292.6269,200,58525.38,43.894035,62069.50262250012,rebalance_unlocked
adaptive_market_style,2023-04-04,002517,恺英网络,互联网,BUY,13.4335,4600,61794.1,46.345575,229.05704750012228,rebalance_unlocked
adaptive_market_style,2023-04-07,000938,紫光股份,IT设备,SELL,34.7013,3900,135335.07,101.50130250000001,135462.62574500014,rebalance_unlocked
adaptive_market_style,2023-04-07,300182,捷成股份,影视音像,SELL,6.37,19000,121030.0,90.77250000000001,256401.85324500012,rebalance_unlocked
adaptive_market_style,2023-04-07,300418,昆仑万维,互联网,SELL,51.9159,3500,181705.65,136.2792375,437971.2240075001,rebalance_unlocked
adaptive_market_style,2023-04-07,600556,天下秀,互联网,SELL,8.5458,13100,111949.98,83.962485,549837.2415225001,rebalance_unlocked
adaptive_market_style,2023-04-07,002241,歌尔股份,元器件,BUY,24.0599,5700,137141.43,102.8560725,412592.95545000007,rebalance_unlocked
adaptive_market_style,2023-04-07,300236,上海新阳,半导体,BUY,43.6303,3100,135253.93,101.44044749999999,277237.5850025001,rebalance_unlocked
adaptive_market_style,2023-04-07,600206,有研新材,半导体,BUY,16.6291,8200,136358.62,102.268965,140776.6960375001,rebalance_unlocked
adaptive_market_style,2023-04-07,603005,晶方科技,半导体,BUY,27.4357,5000,137178.5,102.883875,3495.3121625001077,rebalance_unlocked
adaptive_market_style,2023-04-19,002517,恺英网络,互联网,SELL,13.4542,4600,61889.32,46.41699,65338.21517250011,rebalance_unlocked
adaptive_market_style,2023-04-19,002351,漫步者,IT设备,BUY,19.2327,3300,63467.91,47.600932500000006,1822.7042400001083,rebalance_unlocked
adaptive_market_style,2023-04-21,002241,歌尔股份,元器件,SELL,20.505,5700,116878.5,87.658875,118613.54536500011,rebalance_unlocked
adaptive_market_style,2023-04-21,300236,上海新阳,半导体,SELL,41.9522,3100,130051.81999999999,97.538865,248567.8265000001,rebalance_unlocked
adaptive_market_style,2023-04-21,600206,有研新材,半导体,SELL,16.1557,8200,132476.74,99.35755499999999,380945.2089450001,rebalance_unlocked
adaptive_market_style,2023-04-21,603005,晶方科技,半导体,SELL,27.3953,5000,136976.5,102.732375,517818.97657000006,rebalance_unlocked
adaptive_market_style,2023-04-21,002051,中工国际,建筑工程,BUY,14.8034,6700,99182.78,74.387085,418561.8094850001,rebalance_unlocked
adaptive_market_style,2023-04-21,002222,福晶科技,元器件,BUY,39.5723,2500,98930.75,74.1980625,319556.8614225001,rebalance_unlocked
adaptive_market_style,2023-04-21,601012,隆基绿能,电气设备,BUY,38.5364,2500,96341.0,72.25575,223143.6056725001,rebalance_unlocked
adaptive_market_style,2023-04-21,688072,拓荆科技,半导体,BUY,962.7678,100,96276.78,72.207585,126794.6180875001,rebalance_unlocked
adaptive_market_style,2023-05-08,002351,漫步者,IT设备,SELL,23.4137,3300,77265.20999999999,57.9489075,204001.8791800001,rebalance_unlocked
