signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason
2026-03-06,2026-03-09,adaptive_market_style,3,300502,新易盛,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-06,2026-03-09,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-06,2026-03-09,adaptive_market_style,5,601899,紫金矿业,铜,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-09,2026-03-10,adaptive_market_style,1,300308,中际旭创,通信设备,30.0,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-09,2026-03-10,adaptive_market_style,2,300394,天孚通信,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-09,2026-03-10,adaptive_market_style,3,300502,新易盛,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-09,2026-03-10,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-09,2026-03-10,adaptive_market_style,5,601899,紫金矿业,铜,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-10,2026-03-11,adaptive_market_style,1,300308,中际旭创,通信设备,30.0,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-10,2026-03-11,adaptive_market_style,2,300394,天孚通信,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-10,2026-03-11,adaptive_market_style,3,300502,新易盛,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-10,2026-03-11,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-10,2026-03-11,adaptive_market_style,5,601899,紫金矿业,铜,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-11,2026-03-12,adaptive_market_style,1,300308,中际旭创,通信设备,30.0,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-11,2026-03-12,adaptive_market_style,2,300394,天孚通信,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-11,2026-03-12,adaptive_market_style,3,300502,新易盛,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-11,2026-03-12,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-11,2026-03-12,adaptive_market_style,5,601899,紫金矿业,铜,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-12,2026-03-13,adaptive_market_style,1,300308,中际旭创,通信设备,30.0,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-12,2026-03-13,adaptive_market_style,2,300394,天孚通信,通信设备,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
