trade_date,symbol,shares,close_price,market_value,label
2023-11-30,002142,4000,22.92,91680.0,S60
2023-11-30,002594,100,199.15,19915.0,S60
2023-11-30,300351,800,26.1,20880.0,S60
2023-11-30,688041,400,71.77,28708.0,S60
2023-11-30,688271,500,143.0,71500.0,S60
2023-12-01,002142,4000,22.62,90480.0,S60
2023-12-01,002594,100,197.05,19705.0,S60
2023-12-01,300351,800,23.68,18944.0,S60
2023-12-01,688041,400,71.9,28760.0,S60
2023-12-01,688271,500,143.59,71795.0,S60
2023-12-04,002142,4000,21.95,87800.0,S60
2023-12-04,002594,100,196.39,19639.0,S60
2023-12-04,300351,800,22.05,17640.0,S60
2023-12-04,688041,400,72.71,29084.0,S60
2023-12-04,688271,500,145.74,72870.0,S60
2023-12-05,002142,4000,21.14,84560.0,S60
2023-12-05,002594,100,196.34,19634.0,S60
2023-12-05,300351,800,21.12,16896.0,S60
2023-12-05,688041,400,72.85,29140.0,S60
2023-12-05,688271,500,144.22,72110.0,S60
2023-12-06,002142,4000,21.13,84520.0,S60
2023-12-06,002594,100,201.19,20119.0,S60
2023-12-06,300351,800,21.03,16824.0,S60
2023-12-06,688041,400,75.59,30236.0,S60
2023-12-06,688271,500,150.0,75000.0,S60
2023-12-07,002142,4000,21.03,84120.0,S60
2023-12-07,002594,100,199.45,19945.0,S60
2023-12-07,300351,800,20.63,16504.0,S60
2023-12-07,688041,400,73.16,29264.0,S60
2023-12-07,688271,500,146.39,73195.0,S60
2023-12-08,002142,4000,20.82,83280.0,S60
2023-12-08,002594,100,198.55,19855.0,S60
2023-12-08,300351,800,20.66,16528.0,S60
2023-12-08,688041,400,80.34,32136.0,S60
2023-12-08,688271,500,150.08,75040.0,S60
2023-12-11,002142,4000,20.86,83440.0,S60
2023-12-11,002594,100,199.19,19919.0,S60
2023-12-11,300351,800,21.27,17016.0,S60
2023-12-11,688041,400,82.22,32888.0,S60
2023-12-11,688271,500,147.31,73655.0,S60
2023-12-12,002142,4000,21.28,85120.0,S60
2023-12-12,002594,100,196.33,19633.0,S60
2023-12-12,300351,800,20.76,16608.0,S60
2023-12-12,688041,400,80.67,32268.0,S60
2023-12-12,688271,500,141.48,70740.0,S60
2023-12-13,002142,4000,20.42,81680.0,S60
2023-12-13,002594,100,191.8,19180.0,S60
2023-12-13,300351,800,20.3,16240.0,S60
2023-12-13,688041,400,77.65,31060.0,S60
2023-12-13,688271,500,140.49,70245.0,S60
2023-12-14,000568,200,169.52,33904.0,S60
2023-12-14,002558,1800,14.16,25488.0,S60
2023-12-14,600938,2600,19.56,50856.0,S60
2023-12-14,601398,17700,4.77,84429.0,S60
2023-12-15,000568,200,172.05,34410.0,S60
2023-12-15,002558,1800,14.02,25236.0,S60
2023-12-15,600938,2600,19.35,50310.0,S60
2023-12-15,601398,17700,4.73,83721.0,S60
2023-12-18,000568,200,172.76,34552.0,S60
2023-12-18,002558,1800,13.79,24822.0,S60
2023-12-18,600938,2600,19.55,50830.0,S60
2023-12-18,601398,17700,4.77,84429.0,S60
2023-12-19,000568,200,172.06,34412.0,S60
2023-12-19,002558,1800,13.93,25074.0,S60
2023-12-19,600938,2600,19.71,51246.0,S60
2023-12-19,601398,17700,4.79,84783.0,S60
2023-12-19,300750,400,149.0,59600.0,S60
2023-12-20,000568,200,169.32,33864.0,S60
2023-12-20,002558,1800,13.61,24498.0,S60
2023-12-20,600938,2600,19.84,51584.0,S60
2023-12-20,601398,17700,4.79,84783.0,S60
2023-12-20,300750,400,148.45,59380.0,S60
2023-12-21,000568,200,170.76,34152.0,S60
2023-12-21,002558,1800,13.84,24912.0,S60
2023-12-21,600938,2600,19.72,51272.0,S60
2023-12-21,601398,17700,4.79,84783.0,S60
2023-12-21,300750,400,154.39,61756.0,S60
2023-12-22,000568,200,170.48,34096.0,S60
2023-12-22,002558,1800,12.46,22428.0,S60
2023-12-22,600938,2600,19.93,51818.0,S60
2023-12-22,601398,17700,4.78,84606.0,S60
2023-12-22,300750,400,156.29,62516.0,S60
2023-12-25,000568,200,173.09,34618.0,S60
2023-12-25,002558,1800,11.21,20178.0,S60
2023-12-25,600938,2600,20.0,52000.0,S60
2023-12-25,601398,17700,4.8,84960.0,S60
2023-12-25,300750,400,157.54,63016.0,S60
2023-12-26,000568,200,171.14,34228.0,S60
2023-12-26,002558,1800,11.06,19908.0,S60
2023-12-26,600938,2600,20.03,52078.0,S60
2023-12-26,601398,17700,4.82,85314.0,S60
2023-12-26,300750,400,156.13,62452.0,S60
2023-12-27,000568,200,170.27,34054.0,S60
2023-12-27,002558,1800,11.04,19872.0,S60
2023-12-27,600938,2600,20.62,53612.0,S60
2023-12-27,601398,17700,4.83,85491.0,S60
2023-12-27,300750,400,154.33,61732.0,S60
2023-12-28,600938,4600,20.66,95036.0,S60
2023-12-28,300750,400,162.99,65196.0,S60
2023-12-28,002786,1100,17.01,18711.0,S60
2023-12-28,002855,600,39.06,23436.0,S60
2023-12-28,300735,3200,22.89,73248.0,S60
2023-12-29,300750,400,163.26,65304.0,S60
2023-12-29,002786,1100,16.06,17666.0,S60
2023-12-29,002855,600,37.61,22566.0,S60
2023-12-29,300735,3200,23.54,75328.0,S60
2023-12-29,600941,900,99.48,89532.0,S60
2024-01-02,300750,400,156.83,62732.0,S60
2024-01-02,002786,1100,15.4,16940.0,S60
