signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,1,300058,蓝色光标,广告包装,99.33604074002449,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,2,603667,五洲新春,机械基件,99.20711661187391,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,3,601698,中国卫通,电信运营,99.1619931670212,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,4,300857,协创数据,IT设备,98.81712112421837,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,5,300136,信维通信,元器件,98.68336234126215,0.2,0.2,0,0
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,1,300223,北京君正,半导体,98.94806366389587,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,2,601698,中国卫通,电信运营,98.67420581223017,0.2,0.0,1,0
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,3,002465,海格通信,通信设备,98.53244410077967,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,4,002131,利欧股份,互联网,98.458341387976,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,5,000792,盐湖股份,农药化肥,97.90418197048777,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,1,002151,北斗星通,通信设备,98.98692178842931,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,2,002413,雷科防务,通信设备,98.70989563200618,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,3,300604,长川科技,半导体,98.58587810849117,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,4,601698,中国卫通,电信运营,98.22832109264269,0.2,0.0,1,0
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,5,002202,金风科技,电气设备,98.14295838165185,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,1,002413,雷科防务,通信设备,99.02538823377793,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,2,002195,岩山科技,软件服务,98.60976867066177,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,3,600435,北方导航,专用机械,98.11199175204587,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,4,688102,斯瑞新材,铜,98.09910432373219,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,5,300337,银邦股份,铝,98.07655132418324,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,1,002792,通宇通讯,通信设备,98.79640371229698,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,2,002202,金风科技,电气设备,98.7174529517917,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,3,002413,雷科防务,通信设备,98.49349059035833,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,4,600879,航天电子,航空,98.47898943026553,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,5,601611,中国核建,建筑工程,98.30819798917247,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,1,300418,昆仑万维,互联网,98.47415571023458,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,2,688122,西部超导,小金属,98.39359370971898,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,3,300442,润泽科技,软件服务,98.08745810775973,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,4,000547,航天发展,通信设备,98.042343387471,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,5,002173,创新医疗,医疗保健,97.78454498582107,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,1,301171,易点天下,互联网,99.16263310745398,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,2,002195,岩山科技,软件服务,99.1432720232333,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,3,300342,天银机电,家用电器,98.83672152307193,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,4,600498,烽火通信,通信设备,98.77379799935463,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,5,688568,中科星图,软件服务,98.50758309131976,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,1,002465,海格通信,通信设备,99.50487065350622,0.2,0.2,0,0
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,2,301171,易点天下,互联网,99.3081091542481,0.2,0.2,0,0
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,3,600498,烽火通信,通信设备,98.65976388620089,0.2,0.2,0,0
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,4,688568,中科星图,软件服务,98.15979614218436,0.2,0.2,0,0
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,5,300063,天龙集团,互联网,97.9920650280627,0.2,0.2,0,0
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,1,002716,湖南白银,小金属,99.29240707302968,0.2,0.241060818634598,0,0
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,2,603000,人民网,互联网,99.14267723430933,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,3,002131,利欧股份,互联网,98.9265111923201,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,4,688525,佰维存储,半导体,98.78735880863974,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,5,002044,美年健康,医疗保健,98.46296246739848,0.2,0.0,0,1
2026-01-16,2026-01-19,baseline_full_dynamic_factor_industry_cap2,1,688525,佰维存储,半导体,99.77499025177207,0.2,0.0,0,1
2026-01-16,2026-01-19,baseline_full_dynamic_factor_industry_cap2,2,002716,湖南白银,小金属,99.12061188019099,0.2,0.0,1,0
