strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count
vls_mom_contrarian_v1,2022-02-09,2022-02-08,48728.50722039251,454469.54,503198.0472203925,1.006396094440785,10,0.9031623681976448,0,0,0,0.0,10,10,500000.0,10,1.0,0,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,NO_ACTION_CONFIRMED,503198.0472203925,0.0,20
vls_mom_contrarian_v1,2022-02-10,2022-02-09,48728.50722039251,455215.38,503943.8872203925,1.007887774440785,10,0.9033056884782059,10,0,0,454469.54,10,0,503198.0472203925,10,1.0,4,0.09661559555315519,0.0,0.0,0.09661559555315519,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,503943.8872203925,0.0,20
vls_mom_contrarian_v1,2022-02-11,2022-02-10,48728.50722039251,444759.38,493487.8872203925,0.9869757744407851,10,0.901256933589881,10,0,0,455215.38000000006,10,0,503943.8872203925,10,1.0,3,0.09703822903595549,0.0,0.0,0.09703822903595549,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,493487.8872203925,0.0,20
vls_mom_contrarian_v1,2022-02-14,2022-02-11,48728.50722039251,446620.9,495349.40722039255,0.9906988144407851,10,0.9016280094210104,10,0,0,444759.38,10,0,493487.8872203925,10,1.0,3,0.09909540490485591,0.0,0.0,0.09909540490485591,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,495349.40722039255,0.0,20
vls_mom_contrarian_v1,2022-02-15,2022-02-14,48728.50722039251,447265.4,495993.90722039255,0.9919878144407851,10,0.9017558350797639,10,0,0,446620.89999999997,10,0,495349.40722039255,10,1.0,5,0.09800049830907345,0.0,0.0,0.09800049830907345,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,495993.90722039255,0.0,20
vls_mom_contrarian_v1,2022-02-16,2022-02-15,48728.50722039251,451688.85,500417.3572203925,1.000834714440785,10,0.9026242664901577,10,0,0,447265.4,10,0,495993.90722039255,10,1.0,4,0.09804272615357612,0.0,0.0,0.09804272615357612,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,500417.3572203925,0.0,20
vls_mom_contrarian_v1,2022-02-17,2022-02-16,48728.50722039251,447509.24,496237.7472203925,0.992475494440785,10,0.9018041100393137,10,0,0,451688.85,10,0,500417.3572203925,10,1.0,4,0.09742223524439392,0.0,0.0,0.09742223524439392,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,496237.7472203925,0.0,20
vls_mom_contrarian_v1,2022-02-18,2022-02-17,48728.50722039251,450835.44,499563.9472203925,0.9991278944407851,10,0.9024579185677405,10,0,0,447509.24,10,0,496237.7472203925,10,1.0,4,0.09857373514804811,0.0,0.0,0.09857373514804811,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,499563.9472203925,0.0,20
vls_mom_contrarian_v1,2022-02-21,2022-02-18,48728.50722039251,458984.1,507712.6072203925,1.015425214440785,10,0.9040234445089522,10,0,0,450835.44000000006,10,0,499563.9472203925,10,1.0,4,0.09756121621574017,0.0,0.0,0.09756121621574017,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,507712.6072203925,0.0,20
vls_mom_contrarian_v1,2022-02-22,2022-02-21,48728.50722039251,453783.03,502511.53722039255,1.005023074440785,10,0.9030300727224476,10,0,0,458984.1,10,0,507712.6072203925,10,1.0,4,0.0962539959578816,0.0,0.0,0.0962539959578816,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,502511.53722039255,0.0,20
vls_mom_contrarian_v1,2022-02-23,2022-02-22,48728.50722039251,457041.97,505770.4772203925,1.011540954440785,10,0.9036548999692625,10,0,0,453783.02999999997,10,0,502511.53722039255,10,1.0,4,0.09693121162220182,0.0,0.0,0.09693121162220182,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,505770.4772203925,0.0,20
vls_mom_contrarian_v1,2022-02-24,2022-02-23,48728.50722039251,445162.93,493891.4372203925,0.987782874440785,10,0.9013376148113941,10,0,0,457041.97000000003,10,0,505770.4772203925,10,1.0,4,0.09653758139846111,0.0,0.0,0.09653758139846111,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,493891.4372203925,0.0,20
vls_mom_contrarian_v1,2022-02-25,2022-02-24,48728.50722039251,451087.97,499816.4772203925,0.999632954440785,10,0.9025072012603821,10,0,0,445162.93,10,0,493891.4372203925,10,1.0,5,0.098349898308311,0.0,0.0,0.098349898308311,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,499816.4772203925,0.0,20
vls_mom_contrarian_v1,2022-02-28,2022-02-25,48728.50722039251,450875.85,499604.3572203925,0.999208714440785,10,0.9024658081616835,10,0,0,451087.97000000003,10,0,499816.4772203925,10,1.0,6,0.09719273626805913,0.0,0.0,0.09719273626805913,0.0,0,0.0,0,0,NO_ACTION_CONFIRMED,499604.3572203925,0.0,20
