strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2023-01-05,2023-01-04,361029.190005,142632.8,503661.99000499997,1.00732398001,3,0.28319151103418394,0,0.0,5,3,500000.0,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0567738881358764,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-06,2023-01-05,361029.190005,142456.8,503485.99000499997,1.0069719800099999,3,0.28294094141246173,3,142840.18,5,0,503869.370005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1450144836931995,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-09,2023-01-06,361029.190005,146070.44,507099.630005,1.01419926001,3,0.2880507721895986,3,143864.86,5,0,504894.05000499997,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1393120933167395,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-10,2023-01-09,361029.190005,145178.86,506208.05000499997,1.01241610001,3,0.2867968219757983,3,146012.98,5,0,507042.17000499996,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1135813776737984,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-11,2023-01-10,361029.190005,145073.22,506102.41000499995,1.01220482001,3,0.2866479533234524,3,145609.76,5,0,506638.950005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0434940477903671,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-12,2023-01-11,361029.190005,145662.12,506691.310005,1.01338262001,3,0.28747704395909734,3,145238.66,5,0,506267.850005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0417647374981975,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-13,2023-01-12,361029.190005,148170.64,509199.830005,1.01839966001,3,0.2909872141916172,3,145888.76,5,0,506917.950005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9647761002906378,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-16,2023-01-13,361029.190005,151393.58,512422.77000499994,1.0248455400099998,3,0.29544662895937035,3,148552.84,5,0,509582.03000499995,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.999244444389779,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-17,2023-01-16,361029.190005,150380.14,511409.330005,1.02281866001,3,0.29405044291728066,3,151370.03999999998,5,0,512399.23000499996,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.2902436740862637,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-18,2023-01-17,361029.190005,150714.82,511744.010005,1.02348802001,3,0.2945121331239958,3,150195.32,5,0,511224.510005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9960424747697851,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-19,2023-01-18,366973.41595000005,145158.82,512132.23595000006,1.0242644719,3,0.283440115287279,0,0.0,5,4,511690.630005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.8959688348689601,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-20,2023-01-19,366973.41595000005,148936.15000000002,515909.5659500001,1.0318191319,3,0.28868654475469513,2,99238.54999999999,5,0,513463.70595000003,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9617282537993992,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-30,2023-01-20,366973.41595000005,151339.24,518312.65595000004,1.0366253119000002,3,0.291984458150293,2,104230.87,5,0,520888.04595000006,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.041512037452604,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-31,2023-01-30,366973.41595000005,149090.47,516063.88595,1.0321277719000002,3,0.28889925076920603,2,102252.8,5,0,518546.3159500001,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.4313729119192797,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-02-01,2023-01-31,366973.41595000005,150283.66999999998,517257.08595000004,1.0345141719000002,3,0.2905396060915963,2,102487.02,5,0,516850.8159500001,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.186510457647276,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-02-02,2023-02-01,366973.41595000005,150313.51,517286.92595000006,1.0345738519,3,0.2905805317309122,2,102781.72,5,0,517870.5759500001,5,0.5,2,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.2968787244159046,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-02-03,2023-02-02,366973.41595000005,146752.19999999998,513725.61595,1.0274512319,3,0.2856626094624861,2,101389.82,5,0,516094.55595000007,5,0.5,2,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.2920001078566594,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-02-06,2023-02-03,366973.41595000005,142842.82,509816.23595000006,1.0196324719,3,0.28018491748075525,2,97794.23,5,0,510119.22595000005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1336752581364224,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-02-07,2023-02-06,366973.41595000005,143271.0,510244.41595000005,1.0204888319,3,0.2807889621550301,2,97674.19,5,0,510492.40595000004,5,0.5,1,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,1.0654333270789373,index_strong,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0.5,0.5,attack_recent_completed_samples_negative_cap_50pct,0.5
