strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason
tiered_liquidity_then_bs_v2,2025-06-04,2025-06-03,7896.7091325000365,501344.66,509241.3691325,1.0184827382650001,5,0.9844931900447282,0,0.0,5,5,500000.0,5,1.0,0,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-05,2025-06-04,7896.7091325000365,507445.01999999996,515341.7291325,1.030683458265,5,0.9846767519762217,5,501171.41,5,0,509068.1191325,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-06,2025-06-05,7896.7091325000365,498641.78,506538.4891325001,1.0130769782650002,5,0.9844104459938987,5,500323.75,5,0,508220.45913250005,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-09,2025-06-06,7896.7091325000365,503001.57,510898.27913250006,1.0217965582650002,5,0.9845434806593818,5,503053.01999999996,5,0,510949.7291325,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-10,2025-06-09,7896.7091325000365,513948.96,521845.6691325001,1.0436913382650002,5,0.9848677308261898,5,500882.43000000005,5,0,508779.1391325001,5,1.0,4,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-11,2025-06-10,7896.7091325000365,519952.32,527849.0291325,1.0556980582650002,5,0.9850398339360821,5,516243.0200000001,5,0,524139.7291325001,5,1.0,4,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-12,2025-06-11,7896.7091325000365,514176.42,522073.12913250003,1.044146258265,5,0.9848743237453695,5,511235.91,5,0,519132.6191325,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-13,2025-06-12,7896.7091325000365,523990.49,531887.1991325,1.0637743982649999,5,0.9851534138340245,5,516903.48000000004,5,0,524800.1891325001,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-16,2025-06-13,7896.7091325000365,546819.05,554715.7591325,1.109431518265,5,0.9857644045576615,5,528428.36,5,0,536325.0691325,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-17,2025-06-16,7896.7091325000365,547386.92,555283.6291325,1.1105672582650001,5,0.985778962825112,5,542663.37,5,0,550560.0791325,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-18,2025-06-17,4618.8012625000265,556357.0,560975.8012625,1.121951602525,5,0.9917664875167428,0,0.0,5,10,555808.1891325,5,1.0,0,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-19,2025-06-18,4618.8012625000265,539939.9400000001,544558.7412625,1.089117482525,5,0.9915182680718855,5,564211.32,5,0,568830.1212625,5,1.0,4,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-20,2025-06-19,4618.8012625000265,547817.74,552436.5412625,1.104873082525,5,0.991639218412409,5,536976.92,5,0,541595.7212625,5,1.0,5,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-23,2025-06-20,4618.8012625000265,575129.78,579748.5812625,1.1594971625250001,5,0.9920330960492533,5,547375.36,5,0,551994.1612625,5,1.0,4,,,,,,,,
tiered_liquidity_then_bs_v2,2025-06-24,2025-06-23,4618.8012625000265,584843.62,589462.4212625,1.178924842525,5,0.9921643838590973,5,568596.34,5,0,573215.1412625,5,1.0,4,,,,,,,,
