trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2025-12-17,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,hard_reduce,True,blocked_kill_switch,negative_recent_champion|account_20d_drawdown_kill_switch,1.0,000657|300395|600118|600879|688270,000657|300395|600118|600879|688270,600118,,002600,,49906.0,119204.0,69298.0,0.018725771551156845,0.024155158081634154,0.005429386530477309,0.01886020445245986,0.0,0.0,0.0,-0.00874173201881098,3.2578260403562006e-06,pass,unknown_pending_forward_return
2025-12-18,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,hard_reduce,True,blocked_kill_switch,negative_recent_champion|account_20d_drawdown_kill_switch,1.0,000657|300395|301205|600879|688270,000657|300395|301205|600879|688270,,,,,0.0,0.0,0.0,-0.0035746927871749268,-0.00493114775926673,-0.0013564549720918029,0.013245567964159983,0.0,0.0,0.0,-0.002877751872205981,0.0,pass,unknown_pending_forward_return
2025-12-22,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002639|300342|600118|600879|688270,002639|300342|600118|600879|688270,,,,,0.0,0.0,0.0,0.027704125536462954,0.02924158668128185,0.0015374611448188968,0.023875390816440238,0.0,0.0,0.0,0.02112219514289056,0.0,pass,unknown_pending_forward_return
2025-12-23,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|600118|600879|603799,000657|002080|600118|600879|603799,,,,,0.0,0.0,0.0,0.00864873937046351,0.010445898969200229,0.0017971595987367195,0.00397537412892268,0.0,0.0,0.0,-0.00214431913064788,0.0,pass,unknown_pending_forward_return
2025-12-24,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|600118|600547|603799,000657|002080|600118|600547|603799,,,,,0.0,0.0,0.0,0.004340295498534319,0.004308428170305856,-3.1867328228463165e-05,0.01350286824697448,0.0,0.0,0.0,0.0001309294733887599,0.0,pass,unknown_pending_forward_return
2025-12-25,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|002837|600118|603799,000657|002080|002837|600118|603799,,,,,0.0,0.0,0.0,0.0008065985907341755,-0.0028161581851691153,-0.003622756775903291,0.013287409906242461,0.0,0.0,0.0,-0.00424004010619142,0.0,pass,unknown_pending_forward_return
2025-12-26,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002759|002837|300136|301005|600118,002759|002837|300136|301005|600118,300136,,300394,,0.0,81387.0,81387.0,0.009793604125074351,0.011697084258307067,0.0019034801332327156,0.029980800668863578,0.2,0.2,0.0,0.0170039374034587,1.3270434372853964e-06,pass,unknown_pending_forward_return
2025-12-29,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,reduce_position,False,blocked_recovery_streak_exceeded,negative_recent_champion,1.0,000559|002245|002466|300136|600118,000559|002245|002466|300136|600118,,300136,,603019,130495.08,66528.76000000001,-63966.31999999999,0.012394986538183828,0.007300682898849109,-0.0050943036393347185,0.006588091337897379,0.0,0.0,0.0,-0.00041426085282925997,4.785082712524602e-07,pass,unknown_pending_forward_return
2025-12-30,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000559|002151|002759|600118|600362,000559|002151|002759|600118|600362,,600362,,600118,102775.0,0.0,-102775.0,0.010935160337828043,-0.00018645839522024588,-0.011121618733048289,0.037407945636205996,0.0,0.0,0.0,-0.037407945636205996,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2025-12-31,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002759|300136|600118|600362,002465|002759|300136|600118|600362,,,600118,,57108.0,124525.0,67417.0,0.030170102591196235,0.04075622998119055,0.010586127389994315,0.019223214116808718,0.0,0.0,0.0,0.006674979528600239,4.476379885847332e-06,pass,unknown_pending_forward_return
2026-01-05,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000559|002465|002759|300136|600362,000559|002465|002759|300136|600362,600362,,600118,,0.0,89014.0,89014.0,0.009633578970745349,0.034373111827142644,0.024739532856397295,0.02414424533694998,0.0,0.0,0.0,0.00786517556950814,1.5172622121461276e-06,pass,unknown_pending_forward_return
2026-01-06,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|300058|300136|600118|600362,002465|300058|300136|600118|600362,,,,,106960.0,123640.0,16680.0,0.01985479119217759,0.022486476819363332,0.0026316856271857425,0.03245083791264526,0.0,0.0,0.0,0.00292273052752446,7.549159219210626e-07,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-07,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002759|300058|300136|300418,002465|002759|300058|300136|300418,,,,,0.0,0.0,0.0,0.0031186330743835367,0.013409097468938924,0.010290464394555388,0.021003948803677563,0.0,0.0,0.0,-0.0014036728776122393,0.0,pass,unknown_pending_forward_return
