signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason
2023-01-04,2023-01-05,adaptive_market_style,1,002603,以岭药业,中成药,30.0,0.2,0.1,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-04,2023-01-05,adaptive_market_style,2,300750,宁德时代,电气设备,29.99,0.2,0.1,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-04,2023-01-05,adaptive_market_style,3,600519,贵州茅台,白酒,29.99,0.2,0.1,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-04,2023-01-05,adaptive_market_style,4,000858,五粮液,白酒,29.98,0.2,0.1,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-04,2023-01-05,adaptive_market_style,5,300059,东方财富,证券,29.97,0.2,0.1,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-05,2023-01-06,adaptive_market_style,1,002603,以岭药业,中成药,30.0,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-05,2023-01-06,adaptive_market_style,2,600519,贵州茅台,白酒,29.99,0.2,0.10825673428156332,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-05,2023-01-06,adaptive_market_style,3,300750,宁德时代,电气设备,29.99,0.2,0.10825673428156332,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-05,2023-01-06,adaptive_market_style,4,000858,五粮液,白酒,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-05,2023-01-06,adaptive_market_style,5,300059,东方财富,证券,29.97,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-06,2023-01-09,adaptive_market_style,1,600519,贵州茅台,白酒,30.0,0.2,0.10752965399515474,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-06,2023-01-09,adaptive_market_style,2,300750,宁德时代,电气设备,29.99,0.2,0.10752965399515474,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-06,2023-01-09,adaptive_market_style,3,002603,以岭药业,中成药,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-06,2023-01-09,adaptive_market_style,4,000858,五粮液,白酒,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-06,2023-01-09,adaptive_market_style,5,601012,隆基绿能,电气设备,29.97,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-09,2023-01-10,adaptive_market_style,1,300750,宁德时代,电气设备,30.0,0.2,0.1060149543394387,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-09,2023-01-10,adaptive_market_style,2,600519,贵州茅台,白酒,29.99,0.2,0.1060149543394387,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-09,2023-01-10,adaptive_market_style,3,002603,以岭药业,中成药,29.99,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-09,2023-01-10,adaptive_market_style,4,000858,五粮液,白酒,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2023-01-09,2023-01-10,adaptive_market_style,5,002317,众生药业,中成药,29.97,0.2,0.0,0,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
