strategy,window,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position,3m,2026-03-17,2026-06-17,63,500000.0,489282.54705250013,599703.4750325002,0.22567926987216214,-0.09063074973634855,0.302954565961516,0.5396825396825397,0.6738822618143953,4.761904761904762
production_governed_vol_position,6m,2025-12-17,2026-06-17,119,500000.0,425312.0730975001,599703.4750325002,0.41003162845796304,-0.1597195500000005,0.3334691929667399,0.5714285714285714,0.6516749391211818,4.873949579831932
production_governed_vol_position,1y,2025-06-17,2026-06-17,244,500000.0,422050.329725,599703.4750325002,0.4209288153459225,-0.18905995125491504,0.3113997959828362,0.5245901639344263,0.6069957074790524,4.872950819672131
production_governed_vol_position,3y,2023-11-30,2026-06-17,615,500000.0,503907.9274625,599703.4750325002,0.19010526000730388,-0.24810418157264202,0.24564499256502195,0.4845528455284553,0.5563047881430156,4.900813008130081
baseline_full_liquidity_detail_vol_position,3m,2026-03-17,2026-06-17,63,500000.0,429117.2760725003,550864.3986275,0.2837152669994818,-0.06468861643116319,0.3183021122357039,0.6190476190476191,0.6668612191574514,4.809523809523809
baseline_full_liquidity_detail_vol_position,6m,2025-12-17,2026-06-17,119,500000.0,362226.1560750002,550864.3986275,0.5207747684389794,-0.20001444338636365,0.36148708905544763,0.5798319327731093,0.6795114304168492,4.873949579831932
baseline_full_liquidity_detail_vol_position,1y,2025-06-17,2026-06-17,244,500000.0,348788.8985800001,550864.3986275,0.5793633365918349,-0.20001444338636376,0.3331891867077281,0.5491803278688525,0.6808918471894283,4.905737704918033
baseline_full_liquidity_detail_vol_position,3y,2023-11-30,2026-06-17,615,500000.0,503907.9274625,550864.3986275,0.09318462482115741,-0.3532655531533181,0.2931844198728673,0.4894308943089431,0.6848795023920901,4.943089430894309
adaptive_market_style,3m,2026-03-17,2026-06-17,63,500000.0,618856.2354525002,724539.1839875004,0.17077140453747885,-0.04272714010395384,0.22996801291856617,0.47619047619047616,0.41585444436672775,4.761904761904762
adaptive_market_style,6m,2025-12-17,2026-06-17,119,500000.0,526714.9991675001,724539.1839875004,0.3755810735078202,-0.17504895979549107,0.2978037437935814,0.48739495798319327,0.4335114920222803,4.80672268907563
adaptive_market_style,1y,2025-06-17,2026-06-17,244,500000.0,495629.10144250013,724539.1839875004,0.46185763079441977,-0.2668153133114217,0.3536537347861177,0.4959016393442623,0.41490548187065307,4.721311475409836
adaptive_market_style,3y,2023-11-30,2026-06-17,615,500000.0,502104.65109000006,724539.1839875004,0.44300432671680223,-0.2668153133114217,0.2624199596517005,0.4845528455284553,0.37804347967561314,4.650406504065041
production_governed_adaptive,3m,2026-03-17,2026-06-17,63,500000.0,341609.53399499983,441039.9093824998,0.2910644039254342,-0.06039635344443506,0.3235794548688701,0.5714285714285714,0.613021424638974,4.698412698412699
production_governed_adaptive,6m,2025-12-17,2026-06-17,119,500000.0,308562.52890999976,441039.9093824998,0.4293372268514837,-0.1703837973571627,0.33948947947425356,0.5210084033613446,0.577490319751892,4.7899159663865545
production_governed_adaptive,1y,2025-06-17,2026-06-17,244,500000.0,347577.4837899997,441039.9093824998,0.2688966631940075,-0.356869223506597,0.3719773218561011,0.4959016393442623,0.5606841204512617,4.815573770491803
production_governed_adaptive,3y,2023-11-30,2026-06-17,615,500000.0,504367.9134325,441039.9093824998,-0.12555914514668154,-0.5205835017291383,0.28160165593951475,0.47479674796747967,0.5207112487653012,4.725203252032521
baseline_full_liquidity_detail,3m,2026-03-17,2026-06-17,63,500000.0,349073.8550525,472713.4711925,0.35419328703779573,-0.06368654676587426,0.32129518019596703,0.5873015873015873,0.6613520219414486,4.873015873015873
baseline_full_liquidity_detail,6m,2025-12-17,2026-06-17,119,500000.0,313912.07433,472713.4711925,0.5058785878225254,-0.18618086094012198,0.34363959730471405,0.5882352941176471,0.6737166152137067,4.92436974789916
baseline_full_liquidity_detail,1y,2025-06-17,2026-06-17,244,500000.0,320766.36646000005,472713.4711925,0.47370023986429355,-0.19448551298485817,0.3198415978014868,0.5409836065573771,0.6782672435146225,4.922131147540983
